lqa_sheet,main_sheet,column,key,lqa_row,main_row,status,main_value,lqa_value
System,System,Korean_Steam,Ability.Capture_Info,377,412,DIFF_SAME_SHEET,"적 1명의 공격력과 속도를 일시적으로 25% 감소시킨다.

대상이 여성일 경우, 추가로 방어력과 공격력을 감소시킨다.","적 １체의 공격력・속도를 일시적으로 25% 다운

여성 상대라면 방어력과 공격력을 다운시킨다"
System,System,Korean_Steam,Ability.Fist_Info,399,434,DIFF_SAME_SHEET,턴을 소모하지 않고 적 단체를 공격한다.,턴을 소모하지 않고 적 단일을 공격한다.
System,System,Korean_Steam,Ability.GuardianAngel_Info,405,440,DIFF_SAME_SHEET,모든 아군이 피해를 1회 무효화합니다.,１턴 동안 아군 전원이 받는 데미지를 무효로 한다.
System,System,Korean_Steam,Ability.PowerMode_On,419,456,DIFF_SAME_SHEET,뇌신지상 (입),뇌신지상 (활성)
System,System,Korean_Steam,Ability.PowerMode_Off,420,457,DIFF_SAME_SHEET,뇌신지상 (절),뇌신지상 (비활성)
System,System,Korean_Steam,Ability.PowerMode_Info,421,458,DIFF_SAME_SHEET,"활성화하면 공격이 70% 업.
상시 30 데미지를 받는다.

스킬을 활성화・비활성화할 때 턴을 소모하지 않는다","활성화하면 공격이 70% 업.
상시 20 데미지를 받는다.

스킬을 활성화・비활성화할 때 턴을 소모하지 않는다"
System,System,Korean_Steam,HomeChar.Hisui_DLC_1-1,460,511,DIFF_SAME_SHEET,"「키, 키ーーー잇! 무슨 일이신가요……?」","「키, 키ーーー엣! 무슨 용무이십니까……?」"
System,System,Korean_Steam,HomeChar.Hisui_DLC_1-2,461,512,DIFF_SAME_SHEET,(……이용할 만한 정보는 없을까……?),(……어딘가에 쓸만한 정보는……?)
System,System,Korean_Steam,HomeChar.sentouin22_DLC_1-2,465,516,DIFF_SAME_SHEET,"「키, 키ーーー잇! 언젠가 반드시 이 조직을 장악해주겠어…!!」","「키, 키ーーー잇!(언젠가 반드시 이 조직을 장악해주겠어…)!!」"
System,System,Korean_Steam,HomeChar.Daiya_DLC_1-1,466,517,DIFF_SAME_SHEET,「와훗♥ 주인님이신가요…!?」,「와훗♥ 주인님이신가요…읏!?」
System,System,Korean_Steam,HomeChar.Daiya_DLC_1-2,467,518,DIFF_SAME_SHEET,"「헤엑, 헤엑, 헤엑… 에헤헤…♥」","「헤헷, 헤헷, 헤헷, 에헤헤…♥」"
System,System,Korean_Steam,HomeChar.Daiya_DLC_1-3,468,519,DIFF_SAME_SHEET,「저는 주인님께 완전히 길들여진 충견입니다…♥」,「저는 주인님께 길들여진 충견입니다…♥」
System,System,Korean_Steam,HomeChar.Daiya_DLC_1-4,469,520,DIFF_SAME_SHEET,「깨갱♥… 조교 시간인가요…? 이 못난 개에게 벌을 잔뜩 주세요…♥」,「꺄앙♥…훈육 조교 시간인가요…? 이 못난 개에게 잔뜩 벌을 내려주세요…읏♥」
System,System,Korean_Steam,BattleLog.ItemSelf,481,535,DIFF_SAME_SHEET,{0}이(가) {1}을(를) 사용했다.,"{0}, {1} 사용했다."
System,System,Korean_Steam,BattleLog.ItemSelfToSelf,482,536,DIFF_SAME_SHEET,{0}이(가) 자신에게 {1}을(를) 사용했다.,"{0}, 자신에게 {1} 사용했다."
System,System,Korean_Steam,BattleLog.ItemOther,483,537,DIFF_SAME_SHEET,{0}이(가) {1}에게 {2}을(를) 사용했다.,"{0}, {1}에게 {2} 사용했다."
System,System,Korean_Steam,BattleLog.Idle,484,538,DIFF_SAME_SHEET,{0}은(는) 대기한다.,"{0}, 대기한다."
System,System,Korean_Steam,BattleLog.IdleSP,485,539,DIFF_SAME_SHEET,{0}은(는) 휴식을 취해 SP를 {1}만큼 회복했다.,"{0}, 휴식을 취했다. SP {1} 회복했다."
System,System,Korean_Steam,BattleLog.StunStart,487,541,DIFF_SAME_SHEET,{0}은(는) 행동 불능 상태가 되었다!,"{0}, 행동 불능이 되었다!"
System,System,Korean_Steam,BattleLog.StunUpdate,488,542,DIFF_SAME_SHEET,{0}은(는) 아직 움직일 수 없다.,"{0}, 아직 움직일 수 없다."
System,System,Korean_Steam,BattleLog.HurtStart,489,543,DIFF_SAME_SHEET,{0}은(는) 부상 상태가 되었다!,"{0}, 부상을 입었다!"
System,System,Korean_Steam,BattleLog.Disarm,500,554,DIFF_SAME_SHEET,{0}은(는) 공격할 수 없게 되었다.,"{0}, 공격할 수 없게 되었다"
System,System,Korean_Steam,BattleLog.AbilityExecute,502,557,DIFF_SAME_SHEET,{0}의 {1}!,{0}에서의 {1}!
System,System,Korean_Steam,BattleLog.AbilityExecuteSelf,503,558,DIFF_SAME_SHEET,{0}이(가) {1}을(를) 실행했다.,"{0}, {1} 실행."
System,System,Korean_Steam,BattleLog.GiveSP,506,561,DIFF_SAME_SHEET,{1}에게 SP {0}을 나누어 주었다!,"SP {0}, {1}에게 나누어 주었다!"
System,System,Korean_Steam,BattleLog.Retire,509,564,DIFF_SAME_SHEET,{0}은(는) 재기 불능 상태가 되었다.,"{0}, 재기 불능이 되었다."
System,System,Korean_Steam,BattleLog.Defeat,510,565,DIFF_SAME_SHEET,{0}은(는) 재기 불능 상태가 되었다.,"{0}, 재기 불능이 되었다."
System,System,Korean_Steam,BattleLog.Hacking,511,566,DIFF_SAME_SHEET,{0}이(가) 해킹을 시도한다! 성공 확률: {1},"{0}, 해킹을 시도한다! 성공 확률은 {1}"
System,System,Korean_Steam,BattleLog.StunShield,521,576,DIFF_SAME_SHEET,다음에 {0}을 공격하는 대상은 튕겨 나가 잠시 행동 불능이 된다,다음에 {0} 공격하는 자가 반발되어 잠시 행동 불능이 된다
System,System,Korean_Steam,BattleLog.Suicide,523,578,DIFF_SAME_SHEET,{0}이 자폭했다! {1} 데미지를 입혔다!,"{0}, 자폭한다! {1}의 데미지를 주었다!"
System,System,Korean_Steam,BattleLog.ChargeAttack,526,581,DIFF_SAME_SHEET,공격을 충전한다 ーー {0} 데미지를 모았다 ({1}스택),공격을 차지한다 ーー {0} 데미지를 모았다 ({1}스택)
System,System,Korean_Steam,BattleLog.KeiSpawn,528,583,DIFF_SAME_SHEET,{1}이(가) {0}을(를) 소환했다.,"{0}, {1}에게 호출되었다."
System,System,Korean_Steam,BattleLog.NayutaLockOn,529,584,DIFF_SAME_SHEET,{0}이(가) 다음 표적으로 지목되었다.,"{0}, 다음 표적으로 지정되었다."
Dialog.Tutorial,Dialog.Tutorial,Korean_Steam,Dialog.Tutorial-3-5,58,58,DIFF_SAME_SHEET,「공격」 기본적인 공격 수단입니다. 공격자와 상대의 레벨에 따라 데미지가 영향받습니다.,「공격」 기본적인 공격 수단입니다. 공격자와 상대의 레벨에 따라 대미지가 영향받습니다.
Dialog.Tutorial,Dialog.Tutorial,Korean_Steam,Dialog.Tutorial-3-6,59,59,DIFF_SAME_SHEET,"이번에는 상대 쪽이 압도적으로 레벨이 높으므로, 그다지 데미지를 줄 수 없을 것입니다.","이번에는 상대 쪽이 압도적으로 레벨이 높으므로, 그다지 대미지를 줄 수 없을 것입니다."
Dialog.Tutorial,Dialog.Tutorial,Korean_Steam,Tutorial.CharacterBuildingPanel-2,109,109,DIFF_SAME_SHEET,여기서 장비를 확인하거나 변경할 수 있습니다.,여기서 장비를 확인・변경할 수 있습니다.
Dialog.Chapter2,Dialog.Chapter2,Korean_Steam,Dialog.Chapter2-1-8,17,17,DIFF_SAME_SHEET,릿카는 마음을 굳게 먹고 사령부로 향했다.,릿카는 마음을 굳게 먹고 사령부로 향하는 것이었다.
Dialog.Chapter2,Dialog.Chapter2,Korean_Steam,Dialog.Chapter2-1-25,51,51,DIFF_SAME_SHEET,그렇게 말하며 릿카는 마지못한 표정으로 고귀한 향기가 나는 사령부를 뒤로했다.,"그렇게 말하며, 릿카는 마지못한 표정으로 고귀한 향기가 나는 사령부를 뒤로하는 것이었다."
Dialog.Chapter2,Dialog.Chapter2,Korean_Steam,Dialog.Chapter2-2-45,164,164,DIFF_SAME_SHEET,「뭐!? 여기서!?」,「하앗!? 여기서!?」
Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-2-22,224,224,DIFF_SAME_SHEET,"「그럼 하루 종일 입어서 엘레나쨩의 냄새가 밴 수영복, 제대로 사진에 담아두도록 하지」","「그럼, 하루 종일 입어서 엘레나쨩의 냄새가 스며든 수영복, 제대로 사진에 담아두도록 하지」"
Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-2-25,230,230,DIFF_SAME_SHEET,「자 좀 더 웃게나! 모처럼의 귀여운 얼굴이 아깝잖아!」,「자 좀 더 웃게나! 모처럼의 귀여운 얼굴이지 않은가!」
Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-2-39,260,260,DIFF_SAME_SHEET,"(우웃, 후배가 바로 거기에 있는데!, 이런 한심한 꼴로! 저는 뭘 하고 있는 겁니까!?)","(우웃, 후배가 바로 거기에 있는데!, 이런 한심한 꼴로! 저는 뭘 하고 있는 겁니까!?」"
Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-2-51,284,284,DIFF_SAME_SHEET,"「부춧!? 크윽, 응읏!……ーーー윽!?」","「뷰릇!? 크윽, 응읏!……ーーー윽!?」"
Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-2-57,296,296,DIFF_SAME_SHEET,"(…윽, 위험해!, 이 자식에게서 입을 떼면 그 소리로 들통나요! 소리를 내지 않도록 해야!)","(…윽, 위험해!, 이 자식에게서 입을 빼면 그 소리로 들통나요! 소리를 내지 않도록 해야!)"
Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-2-68,318,318,DIFF_SAME_SHEET,"됴퓻, 뷰르르르르릇읏!","도퓻, 뷰르르르르릇읏!"
Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-2-70,322,322,DIFF_SAME_SHEET,정치가 남자의 자지에서 뜨거운 정액의 분류가 엘레나의 입안에 쏟아진다,정치가 남자의 자지에서 뜨거운 정액의 분류가 엘레나의 입안에 뿜어진다
Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-2-74,332,332,DIFF_SAME_SHEET,"「……엘레나 군, 필사적으로 빨아대는 중에 미안하지만 후배 군은 벌써 나갔네. 이제 자지를 떼도 괜찮아」","「……엘레나 군, 필사적으로 빨아대는 중에 미안하지만 후배 군은 벌써 나갔네. 이제 자지를 빼도 괜찮아」"
Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-3-21,386,386,DIFF_SAME_SHEET,"「하뭇♥♥, 츄릇♥, 레롯♥, 쥬풋♥」","「하앙♥♥, 츄릇♥, 레롯♥, 쥬풋♥」"
Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-3-24,392,392,DIFF_SAME_SHEET,"「어제♥, 츄풋♥, 제대로 씻고 오라고♥♥, 크풋♥ 말했잖아요♥!」","「어제♥, 츄풋♥, 제대로 샤워하고 오라고♥♥, 크풋♥ 말했잖아요♥!」"
Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-3-34,412,412,DIFF_SAME_SHEET,"「츄폿♥, 쥬풋♥고큣♥, 고큣♥!?, 곱풋!?, 고큣♥」","「츄폿♥, 쥬풋♥고큣♥, 고큣♥!?, 고풋!?, 고큣♥」"
Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-3-41,426,426,DIFF_SAME_SHEET,"「크흐흐, 상당히 전부터 바뀌어 있었지.」","「크흐흐, 상당히 전부터 교체되어 있었지.」"
Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-3-54,456,456,DIFF_SAME_SHEET,"「하앗, 하앗, 하앗, 내가, 질…?」","「하앗, 하앗, 하앗, 내가, 지다니…?」"
Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-3-62,472,472,DIFF_SAME_SHEET,(큰일이다… 의식이…… 버틸 수……),(큰일이다… 의식이…… 더는……)
Akiho,Akiho,Korean_Steam,Akiho.Fallen1-7,15,15,DIFF_SAME_SHEET,"「아아, 너는 개조되어 재단의 도움이 될 거야. 성핵전희를 연구해서 우리의 수족으로 삼는 거지」","「아아, 너는 개조되어 재단의 도움이 될 거야. 성핵전희를 연구해서 우리들의 수족으로 삼는 거지」"
Akiho,Akiho,Korean_Steam,Akiho.Fallen1-24,49,49,DIFF_SAME_SHEET,「그럼 드디어 개조다. 음 스위치를 켜서 성핵 에너지 반전 레이저를 조사….」,"「그럼 드디어 개조다. 어디 보자, 스위치를 켜서 성핵 에너지 반전 레이저를 조사….」"
Akiho,Akiho,Korean_Steam,Akiho.Fallen1-43,87,87,DIFF_SAME_SHEET,"그리고 실험실 문이 닫히고, 아키호는 어둠 속에서 혼자 유두 개조를 계속 당했다","그리고 실험실 문은 닫히고, 아키호는 어둠 속에서 혼자 유두 개조를 계속 당하는 것이었다"
Akiho,Akiho,Korean_Steam,Akiho.Fallen1-82,165,165,DIFF_SAME_SHEET,"「괜찮아, 너라면 더 많이 밀크를 낼 수 있어. 우리를 위해 힘내줘」","「괜찮아, 너라면 더 많이 밀크를 낼 수 있어. 우리들을 위해 힘내줘」"
Akiho,Akiho,Korean_Steam,Akiho.Fallen1-84,169,169,DIFF_SAME_SHEET,"그리고 다시 장치에 연결된 아키호에게, 누구에게도 알려지지 않은 채 끝나지 않는 유두 개조가 시작되었다","그리고 다시 장치에 연결된 아키호에게, 누구에게도 알려지지 않은 채 끝나지 않는 유두 개조가 시작되는 것이었다"
Akiho,Akiho,Korean_Steam,Akiho.Fallen2-23,217,217,DIFF_SAME_SHEET,「……뭔가 오해하고 있는 거 아냐? 지금 아키호쨩은 어디까지나 포로이고 우리의 적이야. 왜 우리가 네 말을 들어야 하는 거지?」,「……뭔가 오해하고 있는 거 아냐? 지금 아키호쨩은 어디까지나 포로이고 우리들의 적이야. 왜 우리가 네 말을 들어야 하는 거지?」
Akiho,Akiho,Korean_Steam,Akiho.Fallen2-48,267,267,DIFF_SAME_SHEET,"돞, 도뷰르르르르릇","뷰릇, 도뷰르르르르릇"
Akiho,Akiho,Korean_Steam,Akiho.Fallen2-54,279,279,DIFF_SAME_SHEET,「너는 우리 전투원들의 밀크 서버 겸 성처리 장난감으로서 정액의 페로몬으로 발정하게 되어 있어」,「너는 우리 전투원들의 밀크 서버랑 성처리 장난감으로서 정액의 페로몬으로 발정하게 되어 있어」
Akiho,Akiho,Korean_Steam,Akiho.Fallen2-56,283,283,DIFF_SAME_SHEET,「덤으로 네가 마신 정액은 효율적으로 네 몸에 흡수되어 모유로 변환된다. 이게 바로 에코라는 거지」,「덤으로 네가 마신 정액은 효율적으로 네 몸에 흡수되어 모유로 변환된다. 이게 바로 친환경이라는 거지」
Akiho,Akiho,Korean_Steam,Akiho.Fallen2-67,305,305,DIFF_SAME_SHEET,"「히긱♥♥, 오옷 오옷 오옷 오오오오옷♥♥, 윽♥♥, 오⁉⁉, 오옷 ?!」","「히긱♥♥, 오옷 오옷 오옷 오오오오옷♥♥, 윽♥♥, 오!?!?, 오옷?!」"
Akiho,Akiho,Korean_Steam,Akiho.Fallen2-85,341,341,DIFF_SAME_SHEET,"「좋아, 전부 나왔군! 그럼 이제부터 우리의 밀크 서버로서 잘 부탁한다」","「좋아, 전부 나왔군! 그럼 이제부터 우리들의 밀크 서버로서 잘 부탁한다」"
Akiho,Akiho,Korean_Steam,Akiho.Fallen3-14,373,373,DIFF_SAME_SHEET,「자 어때? 우리도 아키호쨩 젖 짜는 거 능숙해졌지?」,「자 어때? 우리들도 아키호쨩 젖 짜는 거 능숙해졌지?」
Akiho,Akiho,Korean_Steam,Akiho.Fallen3-18,381,381,DIFF_SAME_SHEET,"부슛♥♥, 돕♥, 부슈우우우우웃♥♥","부슛♥♥, 뷰릇♥, 부슈우우우우웃♥♥"
Akiho,Akiho,Korean_Steam,Akiho.Fallen3-31,407,407,DIFF_SAME_SHEET,"「하뭇♥♥, 쥬릇♥♥, 츄풋♥, 츄풋♥, 쥬르르릇♥♥♥」","「하앙♥♥, 쥬릇♥♥, 츄풋♥, 츄풋♥, 쥬르르릇♥♥♥」"
Akiho,Akiho,Korean_Steam,Akiho.Fallen3-32,409,409,DIFF_SAME_SHEET,아키호는 튜브에서 음식을 조르는 동물처럼 전투원들의 자지를 빤다,아키호는 튜브에서 음식을 조르는 동물처럼 전투원들의 자지를 빨고 있다
Akiho,Akiho,Korean_Steam,Akiho.Fallen3-34,413,413,DIFF_SAME_SHEET,"「우리가 이 녀석 젖 짜는 데 능숙해진 것처럼, 이 녀석도 펠라가 능숙해졌다는 거지」","「우리들이 이 녀석 젖 짜는 게 능숙해진 것처럼, 이 녀석도 펠라가 능숙해졌다는 거지」"
Akiho,Akiho,Korean_Steam,Akiho.Fallen3-36,417,417,DIFF_SAME_SHEET,"「하하, 조금 전까지 이 녀석이 우리를 실컷 두들겨 팼던 성핵전희라고는 도저히 생각할 수 없네!」","「하하, 조금 전까지 이 녀석이 우리를 실컷 두들겨 혼낸 성핵전희라고는 도저히 생각할 수 없네!」"
Akiho,Akiho,Korean_Steam,Akiho.Fallen3-48,441,441,DIFF_SAME_SHEET,"「쥬르르릇♥, 하헤텟♥, 얼굴이든 가슴이든 전부♥, 여러분의 자지 밀크 저에게 주세요♥♥」","「쥬르르릇♥, 네에엥♥, 얼굴이든 가슴이든 전부♥, 여러분의 자지 밀크 저에게 주세요♥♥」"
Akiho,Akiho,Korean_Steam,Akiho.Fallen3-49,443,443,DIFF_SAME_SHEET,"돕, 도뷰르르르르웃!","뷰릇, 도뷰르르르르웃!"
Akiho,Akiho,Korean_Steam,Akiho.Fallen3-51,447,447,DIFF_SAME_SHEET,"「곱붑♥, 히얏♥♥, 츄부우우우웃♥♥, 으음옷 ♥, 즈르릇♥♥, 쥬릇♥♥♥」","「고릇♥, 히얏♥♥, 츄부우우우웃♥♥, 으음옷 ♥, 즈르릇♥♥, 쥬릇♥♥♥」"
Akiho,Akiho,Korean_Steam,Akiho.Fallen3-53,451,451,DIFF_SAME_SHEET,"「고큣♥, 고큣♥♥, 고큣♥♥……푸핫♥♥ 미안해요, 사정에 낚여서 나와버렸어요♥」","「고큣♥, 고큣♥♥, 고큣♥♥……푸핫♥♥ 미안해요, 사정에 덕분에 나와버렸어요♥」"
Akiho,Akiho,Korean_Steam,Akiho.Fallen3-61,467,467,DIFF_SAME_SHEET,"―――그날 아키호는 그 후 몇 번이나 전투원들에게 유두를 짜이며, 재단의 생체 밀크 서버로서 수십 리터의 모유를 냈다","―――그날 아키호는 그 후 몇 번이나 전투원들에게 유두를 짜이고, 재단의 생체 밀크 서버로서 수십 리터의 모유를 내는 것이었다"
Akiho,Akiho,Korean_Steam,Akiho.Debauchery1-7,490,490,DIFF_SAME_SHEET,「너무 성욕이 강해서 밤거리를 쏘다니는 바람에 곤란하다고 하더군」,「너무 성욕이 강해서 밤마다 곤란하다고 하더군」
Akiho,Akiho,Korean_Steam,Akiho.Debauchery1-10,496,496,DIFF_SAME_SHEET,"이야기를 하는 동안 호텔 최상층의 한 방에 도착하자, 근골륭륭한 금발 남자가 다가온다","이야기를 하는 동안 호텔 최상층의 한 방에 도착하자, 근골이 건장한 금발 남자가 다가온다"
Akiho,Akiho,Korean_Steam,Akiho.Debauchery1-16,508,508,DIFF_SAME_SHEET,"「히야웃!?, 여, 그만두세요!」","「히야웃!?, 그, 그만두세요!」"
Akiho,Akiho,Korean_Steam,Akiho.Debauchery1-38,552,552,DIFF_SAME_SHEET,"「오오옷♥!?, 야, 야랏♥, 아파♥, 빼줘엇♥!」","「오오옷♥!?, 시, 싫어♥, 아파♥, 빼줘엇♥!」"
Akiho,Akiho,Korean_Steam,Akiho.Debauchery1-56,588,588,DIFF_SAME_SHEET,"「카흇, 콜록, 이, 언제…까지♥」","「카흇, 콜록, 어, 언제…까지♥」"
Akiho,Akiho,Korean_Steam,Akiho.Debauchery1-65,606,606,DIFF_SAME_SHEET,"돕, 도뷰르르르릇!","뷰릇, 도뷰르르르릇!"
Akiho,Akiho,Korean_Steam,Akiho.Debauchery1-67,610,610,DIFF_SAME_SHEET,"대량의 정액을 아키호의 질 내에 싼 후, 남자는 드디어 아키호의 목에서 손을 뗀다","대량의 정액을 아키호의 질 내에 싼 후, 남자는 드디어 아키호의 목에서 손을 푼다"
Akiho,Akiho,Korean_Steam,Akiho.Debauchery1-70,616,616,DIFF_SAME_SHEET,"「히끅♥, 아옷  감사합니다앗…」","「히읏♥, 아옷  감사합니다앗…」"
Akiho,Akiho,Korean_Steam,Akiho.Debauchery1-74,624,624,DIFF_SAME_SHEET,"「야… 싫엇!, 돌려보내줘! 부탁이야!」","「시… 싫엇!, 돌려보내줘! 부탁이야!」"
Akiho,Akiho,Korean_Steam,Akiho.Debauchery1-76,628,628,DIFF_SAME_SHEET,"「얏♥, 앗♥, 아아아아앗♥♥」","「싫어♥, 앗♥, 아아아아앗♥♥」"
Akiho,Akiho,Korean_Steam,Akiho.Debauchery1-77,630,630,DIFF_SAME_SHEET,그리고 이날부터 아키호와 남자의 타락한 생활이 시작되었다,"그리고, 이날부터 아키호의 남자와의 타락한 생활이 시작되는 것이었다"
Akiho,Akiho,Korean_Steam,Akiho.Debauchery2-17,666,666,DIFF_SAME_SHEET,"「……아-?,  아니면 목 졸리고 싶어서 일부러 힘 뺀 건가? 이 망할 년이」","「……아-?,  아니면 목 졸리고 싶어서 일부러 그런 건가? 이 망할 년이」"
Akiho,Akiho,Korean_Steam,Akiho.Debauchery2-18,668,668,DIFF_SAME_SHEET,"「콜록♥, 게홋♥, 다, 다릅니닷♥」","「콜록♥, 게홋♥, 아, 아니에요♥」"
Akiho,Akiho,Korean_Steam,Akiho.Core1-8,765,765,DIFF_SAME_SHEET,"「윽, 다, 누구…? 왜 이런 짓을 하는 거야!?」","「윽, 누, 누구…? 왜 이런 짓을 하는 거야!?」"
Akiho,Akiho,Korean_Steam,Akiho.Core1-13,775,775,DIFF_SAME_SHEET,"연구원 남자가 그렇게 말하자, 용기 아래에서 덜컹! 하고 무언가가 열리는 소리가 들린다","연구원 남자가 그렇게 말하자, 용기 아래에서 무언가가 열리는 소리가 들린다"
Akiho,Akiho,Korean_Steam,Akiho.Core1-21,791,791,DIFF_SAME_SHEET,"「히앗♥, 여, 그만해♥!」","「히앗♥, 그, 그만해♥!」"
Akiho,Akiho,Korean_Steam,Akiho.Core1-55,859,859,DIFF_SAME_SHEET,곱… 곱…,고붓… 고부웃…
Akiho,Akiho,Korean_Steam,Akiho.Core1-58,865,865,DIFF_SAME_SHEET,"아키호의 몸에서 힘이 빠지고, 의식은 슬라임 속으로 녹아들었다","아키호의 몸에서 힘이 빠져, 의식은 슬라임에 녹아드는 것이었다"
Akiho,Akiho,Korean_Steam,Akiho.Core2-24,916,916,DIFF_SAME_SHEET,"(~윽!?, 뭐, 뭐야!, 거기에 누구 있는 거야!?)","(~윽!?, 뭐, 뭐야!, 거기에 누구 있는 거야!?」"
Akiho,Akiho,Korean_Steam,Akiho.Core2-27,922,922,DIFF_SAME_SHEET,"(~~~윽!?, 에, 뭐야, 무슨 소리야!?)","(~~~윽!?, 에, 뭐야, 무슨 소리야!?」"
Akiho,Akiho,Korean_Steam,Akiho.Core2-36,940,940,DIFF_SAME_SHEET,"(히끅♥, 응아아앗♥!)","(히읏♥, 응아아앗♥!)"
Akiho,Akiho,Korean_Steam,Akiho.Core2-51,970,970,DIFF_SAME_SHEET,"그 후 슬라임은 아키호의 모습을 한 괴인으로 활약하고, 아키호는 오나홀로서 전투원들에게 사용되는 나날을 보내게 되었다","그 후, 슬라임은 아키호의 모습을 한 괴인으로서 활약하고, 아키호는 오나홀로서 전투원들에게 사용되는 나날이 계속되는 것이었다"
