Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English,English_Steam,Korean_Steam,Simplified Chinese_Steam
,,,,,,,,
Nayuta.Fallen1-6,,その時、部屋にスピーカーで声が響く,その時、部屋にスピーカーで声が響く,這時，房間裡的擴音器響起一個聲音。,"At that moment, a voice echoes through the speakers in the room","At that moment, a voice echoed through the room's speakers.","그때, 방에 스피커로 목소리가 울린다",这时，房间里的扩音器响起一个声音。
,,,,,,,,
Nayuta.Fallen1-7,戦闘員,「おう、おとなしく拘束されてるな！最強の聖核戦姫が良いざまだ」,「おう、おとなしく拘束されてるな！最強の聖核戦姫が良いざまだ」,「喔，妳比想象中還要老實呢！最強的聖核戰姫，真是狼狽啊。」,"Oh, she's being held up quietly! The most powerful Holy Core Battlemaiden is in good shape.""","""Oh, look at you all tied up and obedient! What a sight, the strongest Holy Core Battlemaiden!""","「어이, 얌전히 구속되어 있군! 최강의 성핵전희 꼴 좋다」",「喔，你比想象中还要老实呢！最强的圣核战姫，真是狼狈啊。」
,,,,,,,,
Nayuta.Fallen1-8,那由多,「…………っ！」,「…………っ！」,「…………唔！」,"""............!""","""...!""",「…………윽!」,「…………唔！」
,,,,,,,,
Nayuta.Fallen1-9,戦闘員,「これまで狩りの対象でしかなかった相手に敗北して拘束されるのはどんな気分だ？」,「これまで狩りの対象でしかなかった相手に敗北して拘束されるのはどんな気分だ？」,「被妳一直視為獵物的對手打敗並拘束，是什麼感覺？」,"How does it feel to be defeated and held captive by someone you've only ever hunted?""","""How does it feel to be defeated and restrained by those who were nothing but prey to you?""",「지금까지 사냥 대상에 불과했던 상대에게 패배하여 구속되는 기분은 어떤가?」,「被你一直视为猎物的对手打败并拘束，是什么感觉？」
,,,,,,,,
Nayuta.Fallen1-10,那由多,「……………これも私の未熟ゆえ…何も言うことはありません」,「……………これも私の未熟ゆえ…何も言うことはありません」,「……………這也是我不成熟的緣故…我無話可說。」,"............... this is also due to my inexperience...I have nothing to say.""","""...This is due to my own inexperience... I have nothing to say.""",「……………이것도 제 미숙함 때문… 아무 말도 할 수 없습니다」,「……………这也是我不成熟的缘故…我无话可说。」
,,,,,,,,
Nayuta.Fallen1-11,戦闘員,「…まあいい…さて、これからのお前の処遇だが…」,「…まあいい…さて、これからのお前の処遇だが…」,「…算了…那麼，接下來對妳的處置是…」,"Well, now, what's going to happen to you?""","""...Well, fine... Now, about what we're going to do with you...""","「…뭐 좋다… 자, 이제부터 너의 처우지만…」",「…算了…那么，接下来对你的处置是…」
,,,,,,,,
Nayuta.Fallen1-12,戦闘員,「お前は俺達にとっての最大の障害だったからな。いつもは洗脳調教して戦力にするつもりだったが今回は無しだ」,「お前は俺達にとっての最大の障害だったからな。いつもは調教して戦力にするつもりだったが今回は無しだ」,「妳是我們最大的障礙。雖然平常會教育後當作戰力，但這次不用了。」,"You've been our biggest obstacle. Normally, we would have brainwashed and trained you to be a force to be reckoned with, but not this time.""","""You were our greatest obstacle. Usually, we'd re-educate and train you to become our fighting force, but not this time.""",「너는 우리에게 있어 최대의 장애물이었으니까. 평소에는 세뇌 조교해서 전력으로 삼을 생각이었지만 이번엔 아니다」,「你是我们最大的障碍。虽然平常会教育后当作战力，但这次不用了。」
,,,,,,,,
Nayuta.Fallen1-13,那由多,「………………？」,「………………？」,「………………？」,"""..................?""","""...?""",「………………?」,「………………？」
,,,,,,,,
Nayuta.Fallen1-14,戦闘員,「お前はそこで俺達が世界征服するのをただ指をくわえて見ていればいい」,「お前はそこで俺達が世界征服するのをただ指をくわえて見ていればいい」,「妳就在那邊袖手旁觀，看著我們征服世界就好。」,"You can just sit there and watch us take over the world with your fingers crossed.""","""You can just sit there and watch helplessly as we conquer the world.""",「너는 거기서 우리가 세계 정복하는 것을 그저 손가락 빨며 보고 있으면 된다」,「你就在那边袖手旁观，看着我们征服世界就好。」
,,,,,,,,
Nayuta.Fallen1-15,那由多,「………っ！」,「………っ！」,「………唔！」,""".........!""","""...!""",「………윽!」,「………唔！」
,,,,,,,,
Nayuta.Fallen1-16,,(…いえ、焦る必要はありません。精神を集中して聖核エネルギーを貯める。やるべきことをやるだけです),(…いえ、焦る必要はありません。精神を集中して聖核エネルギーを貯める。やるべきことをやるだけです),（…不，不用焦急。集中精神儲存聖核能量。我只要做好該做的事就好。）,"(...No, there is no need to rush. Concentrate your mind and store the Seikaku energy. Just do what you have to do.)","(No, there's no need to panic. I'll concentrate and accumulate Holy Core Energy. I just need to do what must be done.)","(…아니, 초조해할 필요는 없습니다. 정신을 집중해서 성핵 에너지를 모으는 것. 해야 할 일을 할 뿐입니다)",（…不，不用焦急。集中精神储存圣核能量。我只要做好该做的事就好。）
,,,,,,,,
Nayuta.Fallen1-17,戦闘員,「ああ、そういやお前に一つやってもらいたいことがあるんだが…」,「ああ、そういやお前に一つやってもらいたいことがあるんだが…」,「啊，對了，有件事想讓妳幫忙…」,"'Oh, well, there's one thing I need you to do...'","""Oh yeah, there's actually one thing we want you to do...""","「아아, 그러고 보니 너에게 한 가지 해줬으면 하는 일이 있는데…」",「啊，对了，有件事想让你帮忙…」
,,,,,,,,
Nayuta.Fallen1-18,那由多,「…………？」,「…………？」,「…………？」,"""............?""","""...?""",「…………?」,「…………？」
,暗転,,,,,,,
Nayuta.Fallen1-19,Nayuta darkness 1-2,そして、何かが部屋に入ってくる,そして、何かが部屋に入ってくる,隨後，有什麼東西走進了房間。,And then something comes into the room.,"Then, something entered the room.","그리고, 무언가가 방으로 들어온다",随后，有什么东西走进了房间。
,,,,,,,,
Nayuta.Fallen1-20,???,「グギャッ、グギャッ！」,「グギャッ、グギャッ！」,「咕嘎、咕嘎！」,"Ggah, ggah!""","""Gugya! Gugya!""","「크악, 크악!」",「咕嘎、咕嘎！」
,,,,,,,,
Nayuta.Fallen1-21,那由多,「……っ！…これは？」,「……っ！…これは？」,「……唔！…這是？」,"""......! ...what's this?""","""...! What is this?""",「……윽!…이것은?」,「……唔！…这是？」
,,,,,,,,
Nayuta.Fallen1-22,戦闘員,「こいつはある聖核戦姫に産ませた怪人だが…性欲だけ強くて何の役にも立たねえんだ」,「こいつはある聖核戦姫に産ませた怪人だが…性欲だけ強くて何の役にも立たねえんだ」,「這是讓某個聖核戰姫生下的怪人…但牠只有性慾強，一點實際用都沒有。」,"He's a monster I birthed for a certain Holy Core Battlemaiden, but he's useless to me because he's got a strong libido.","""This is a fiend born from a certain Holy Core Battlemaiden... But it's useless, only good for its strong sexual urges.""",「이 녀석은 어떤 성핵전희에게 낳게 한 괴인이지만… 성욕만 강하고 아무 쓸모도 없어」,「这是让某个圣核战姫生下的怪人…但牠只有性欲强，一点实际用都没有。」
,,,,,,,,
Nayuta.Fallen1-23,,「どうせ暇ならコイツの相手をしておいてくれ。なに、戦闘力は全く無いから安心しろ」,「どうせ暇ならコイツの相手をしておいてくれ。なに、戦闘力は全く無いから安心しろ」,「反正妳閒著也是閒著，就陪牠玩玩吧。沒事，牠完全沒有戰鬥力，妳放心。」,"If you're not busy, you can deal with him. Don't worry, he's not a fighter at all.","""Since you're free anyway, keep this thing company. Don't worry, it has absolutely no combat abilities.""","「어차피 심심하면 이 녀석 상대나 해줘라. 뭐, 전투력은 전혀 없으니 안심해라」",「反正你闲着也是闲着，就陪牠玩玩吧。没事，牠完全没有战斗力，你放心。」
,,,,,,,,
Nayuta.Fallen1-24,ゴブリン型怪人,「グギャッ、グギャッ！？」,「グギャッ、グギャッ！？」,「咕嘎、咕嘎！？」,"Ggah, ggah!""","""Gugya! Gugya!?""","「크악, 크악!?」",「咕嘎、咕嘎！？」
,,,,,,,,
Nayuta.Fallen1-25,那由多,「………そのようですね」,「………そのようですね」,「………似乎是這樣呢。」,"......... seems to be the case.""","""...So it seems.""",「………그런 것 같군요」,「………他们是这样说的喔。」
,,,,,,,,
Nayuta.Fallen1-26,,(……まあこの程度の怪人なら相手にするべくもないでしょう),(……まあこの程度の怪人なら相手にするべくもないでしょう),（……這種程度的怪人，根本不值一提。）,"(...... Well, if it's a monster of this caliber, it's probably not worth the effort.)","(Well, a fiend of this level shouldn't be worth dealing with.)",(……뭐 이 정도 괴인이라면 상대할 필요도 없겠죠),（……这种程度的怪人，根本不值一提。）
,,,,,,,,
Nayuta.Fallen1-27,,(…適当にオーラで威圧して上下関係を教え込みましょうか),(…適当にオーラで威圧して上下関係を教え込みましょうか),（…隨便用氣場威嚇牠一下，讓牠知道上下關係好了。）,(...should we use an appropriate aura to intimidate them and teach them about hierarchy?),(I'll just intimidate it with my aura and teach it its place.),(…적당히 오라로 위압해서 상하 관계를 가르쳐줄까요),（…随便用气场威吓牠一下，让牠知道上下关系好了。）
,,,,,,,,
Nayuta.Fallen1-28,ゴブリン型怪人,「ギャッ！ギャッ！」,「ギャッ！ギャッ！」,「嘎！嘎！」,"Gah! Gah!""","""Gya! Gya!""",「갹! 갹!」,「嘎！嘎！」
,,,,,,,,
Nayuta.Fallen1-29,那由多,「―――――黙りなさい」,「―――――黙りなさい」,「―――――安靜。」,"""――――― shut up.""","""Silence.""",「―――――조용히 하십시오」,「―――――安静。」
,,,,,,,,
Nayuta.Fallen1-30,,那由多の威圧感のある声で怪人が一瞬動きを止める,那由多の威圧感のある声で怪人が一瞬動きを止める,那由多充滿威壓感的聲音讓怪人的動作瞬間停滯。,Nayuta's intimidating voice causes the monster to stop moving for a moment.,The fiend momentarily stopped moving at Nayuta's intimidating voice.,나유타의 위압감 있는 목소리에 괴인이 순간 움직임을 멈춘다,那由多充满威压感的声音让怪人的动作瞬间停滞。
,,,,,,,,
Nayuta.Fallen1-31,ゴブリン型怪人,「グギャッ！？」,「グギャッ！？」,「咕嘎！？」,"Ggah!""","""Gugya!?""",「크악!?」,「咕嘎！？」
,,,,,,,,
Nayuta.Fallen1-32,那由多,「―――そこの矮小な怪人。目の前にいるのは最強の聖核戦姫、八雲那由多です」,「―――そこの矮小な怪人。目の前にいるのは最強の聖核戦姫、八雲那由多です」,「―――那邊矮小的怪人。站在你面前的是最強的聖核戰姫，八雲那由多。」,"""―――― you diminutive monster there. In front of you is the strongest Holy Core Battlemaiden, Yakumo Nayuta.""","""You insignificant fiend. Before you stands the strongest Holy Core Battlemaiden, Nayuta Yakumo.""","「―――거기 왜소한 괴인. 눈앞에 있는 것은 최강의 성핵전희, 야쿠모 나유타입니다」",「―――那边矮小的怪人。站在你面前的是最强的圣核战姫，八云那由多。」
,,,,,,,,
Nayuta.Fallen1-33,,「これからこの部屋で一切の言葉を発することを禁じます。部屋の隅で静かに―――――」,「これからこの部屋で一切の言葉を発することを禁じます。部屋の隅で静かに―――――」,「從現在開始，你被禁止在這個房間裡發出任何聲音。在房間角落安靜地―――――」,"From now on, no words of any kind are allowed in this room. Quietly in the corner of the room: ―――――""","""From now on, you are forbidden from uttering any words in this room. Quietly go to the corner and...""",「이제부터 이 방에서 일절 말을 하는 것을 금지합니다. 방 구석에서 조용히―――――」,「从现在开始，你被禁止在这个房间里发出任何声音。在房间角落安静地―――――」
,,,,,,,,
Nayuta.Fallen1-34,Nayuta darkness 1-３,ズボッッ！！！グリュリュッッ！,ズボッッ！！！グリュリュッッ！,噗滋！！！咕嚕嚕！！,Zubotsuk! Gruelggghhhh!,Shove! Squelch!,즈봇!! 그릇릇!!,噗滋！！！咕噜噜！！
,,,,,,,,
Nayuta.Fallen1-35,那由多,「ひっぎいっ！？おあっ？？お゛お゛おぉっ！？」,「ひっぎいっ！？おあっ？？お゛お゛おぉっ！？」,「呀噫！？喔啊？？喔喔喔喔！」,"""Hi―gi―yi! Ooooh? Oh, oh, oh, oh!","""Hggggnnnn? Aaaahh?? Ohhhhhhhhh?!""",「히익기잇!? 오앗?? 오옷 오옷 오옷!?」,「呀噫！？喔啊？？喔喔喔喔！」
,,,,,,,,
Nayuta.Fallen1-36,ゴブリン型怪人,「ゲギャッ！ギャギャ！」,「ゲギャッ！ギャギャ！」,「給嘎！嘎嘎！」,"Geegawd! Ggagh!""","""Gegya! Gyagya!""",「케갹! 갸갸!」,「给嘎！嘎嘎！」
,,,,,,,,
Nayuta.Fallen1-37,那由多,「――――はっ？、え、何をっ！？」,「――――はっ？、え、何をっ！？」,「――――咦？欸，你在做什麼！？」,"""―――― what? What?","""...Huh? Wh-what are you!?""","「――――핫?, 에, 무엇을!?」",「――――咦？，呃，你在做什么！？」
,,,,,,,,
Nayuta.Fallen1-38,,一瞬の出来事に那由多は何が起きたのかを理解できない,一瞬の出来事に那由多は何が起きたのかを理解できない,突如其來的狀況讓那由多無法理解發生了什麼。,"In a split second, Nayuta can't understand what happened.",Nayuta couldn't understand what had happened in the blink of an eye.,순간적인 일에 나유타는 무슨 일이 일어났는지 이해하지 못한다,突如其来的状况让那由多无法理解发生了什么。
,,,,,,,,
Nayuta.Fallen1-39,那由多,「…は？腕が……？なん…でっ？」,「…は？腕が……？なん…でっ？」,「…咦？手臂…？為、為什麼！」,"I'm like, ""...what? My arm is ......? What...?""","""Huh? My arms...? Wh...y?""",「…하? 팔이……? 무…슨?」,「…咦？手臂…？为、为什么！」
,,,,,,,,
Nayuta.Fallen1-40,ゴブリン型怪人,「ギャギャギャ♪」,「ギャギャギャ♪」,「嘎嘎嘎♪」,"♪ Gah, gah, gah ♪","""Gyagyagya♪""",「갸갸갸♪」,「嘎嘎嘎♪」
,,,,,,,,
Nayuta.Fallen1-41,,グチュッ、グチュッ、グチュッ！,グチュッ、グチュッ、グチュッ！,咕啾、咕啾、咕啾！,"Gut, gut, gut!","Squelch, squelch, squelch!","구츗, 구츗, 구츗!",咕啾、咕啾、咕啾！
,Nayuta darkness 1-4,,,,,,,
Nayuta.Fallen1-42,那由多,「お゛お゛っ！？やめっ、私の中をっ、いじくるなっ！！」,「お゛お゛っ！？やめっ、私の中をっ、いじくるなっ！！」,「喔喔！住手、不准在我裡面亂動！」,"""Ooooh! Stop, you're messing with my insides!","""Oooh!? Stop! Don't mess around inside me!!""","「오옷 오옷 옷!? 그만둬, 내 안을, 만지지 마!!」",「喔喔！住手、不准在我里面乱动！」
,,,,,,,,
Nayuta.Fallen1-43,,「グギャッ！グギャッ！グギャッ！」,「グギャッ！グギャッ！グギャッ！」,「咕嘎！咕嘎！咕嘎！」,"Ggagh! Guggah! Guggach!""","""Gugya! Gugya! Gugya!""",「크악! 크악! 크악!」,「咕嘎！咕嘎！咕嘎！」
,,,,,,,,
Nayuta.Fallen1-44,那由多,「ほお゛お゛っ！、これっ、子宮に直接っ♥！？」,「ほお゛お゛っ！、これっ、子宮に直接っ♥！？」,「吼喔喔！這、這直接刺激到子宮了♥！？」,"""Oh, oh, oh, oh! This is directly in my womb!","""Hoooh! This is going directly to my womb♥""","「호오옷 오옷 옷!, 이거, 자궁에 직접♥!?」",「吼喔喔！这、这直接刺激到子宫了♥！？」
,,,,,,,,
Nayuta.Fallen1-45,,コリュッ、コリュッ,コリュッ、コリュッ,咕嚕、咕嚕,"Korück, korück.","Grind, grind","코릇, 코릇",咕噜、咕噜
,,,,,,,,
Nayuta.Fallen1-46,那由多,「んお゛お゛っ♥、やめっ♥、離しなさいっ♥！」,「んお゛お゛っ♥、やめっ♥、離しなさいっ♥！」,「嗯喔喔♥，住手♥，放開我♥！」,"""Oh, oh, oh, oh, oh, stop it, stop it, let go of me!""","""Noooh♥ Stop♥ Let go of me♥""","「응오옷 오옷 옷♥, 그만둬♥, 놓으십시오♥!」",「嗯喔喔♥，住手♥，放开我♥！」
,,,,,,,,
Nayuta.Fallen1-47,,那由多の声に耳を貸さず、怪人は無邪気な子供のように那由多の膣内をまさぐり続ける,那由多の声に耳を貸さず、怪人は無邪気な子供のように那由多の膣内をまさぐり続ける,怪人對那由多的聲音充耳不聞，像個天真的孩子般不斷在那由多的陰道內摸索。,"Without listening to Nayuta's voice, the monster continues to play with Nayuta's vagina like an innocent child.","Ignoring Nayuta's voice, fiend monster continued to explore inside her like an innocent child.","나유타의 목소리에 귀 기울이지 않고, 괴인은 천진난만하게 나유타의 질 내를 계속 만지작거린다",怪人对那由多的声音充耳不闻，像个天真的孩子般不断在那由多的阴道内摸索。
,,,,,,,,
Nayuta.Fallen1-48,那由多,「んあ゛っ♥お゛っ♥、お゛♥」,「んあ゛っ♥お゛っ♥、お゛♥」,「嗯啊♥喔♥、喔♥」,"""Aaahh ♥ oohh ♥, oohh ♥.""","""Naah♥ Oh♥ Oh♥""","「응앗옷 ♥ 오옷 옷♥, 오옷 옷♥」",「嗯啊♥喔♥、喔♥」
,,,,,,,,
Nayuta.Fallen1-49,ゴブリン型怪人,「ギャギャギャ！」,「ギャギャギャ！」,「嘎嘎嘎！」,"Gah―gah!""","""Gyagyagya!""",「갸갸갸!」,「嘎嘎嘎！」
,,,,,,,,
Nayuta.Fallen1-50,那由多,「ひぎゅううううううっっっっっ♥♥♥！！！」,「ひぎゅううううううっっっっっ♥♥♥！！！」,「呀嗚嗚嗚嗚嗚嗚嗚♥♥♥！！！」,,"""Higyuuuuuuu♥♥♥""",「히규우우우우우우웃♥♥♥!!!」,「呀呜呜呜呜呜呜呜♥♥♥！！！」
,,,,,,,,
Nayuta.Fallen1-51,Nayuta darkness 1-5,プシッ、プシュウウウウウッ♥！,プシッ、プシュウウウウウッ♥！,噗滋、噗咻嗚嗚嗚嗚♥！,"Pshhhh, pshhhhhh ♥!","Pssh, pshuuuuu♥","푸싯, 푸슈우우우우웃♥!",噗滋、噗咻呜呜呜呜♥！
,,,,,,,,
Nayuta.Fallen1-52,ゴブリン型怪人,「ギャッ♪　ギャッ♪」,「ギャッ♪　ギャッ♪」,「嘎♪　嘎♪」,♪ Gah ♪ ♪ Gah ♪,"""Gya♪ Gya♪""",「갹♪　갹♪」,「嘎♪　嘎♪」
,,,,,,,,
Nayuta.Fallen1-53,那由多,「お゛おっ………お゛っ♥」,「お゛おっ………お゛っ♥」,「喔喔………喔♥」,"Ooooh ......... Ooooh ♥""","""Ooh... Oh♥""",「오옷 오옷……… 오옷 옷♥」,「喔喔………喔♥」
,Nayuta darkness 1-6,,,,,,,
Nayuta.Fallen1-54,那由多,「―――――っ！、私ッ、今この怪人にっ…絶頂…させられた！？」,「―――――っ！、私ッ、今この怪人にっ…絶頂…させられた！？」,「―――――唔！我竟然，被這個怪人…弄到高潮了！？」,I just had a climax......made by this monster! I've just been made to climax by this monster!,"""...! I... I just... came... because of this fiend!?""","「―――――윽!, 나, 지금 이 괴인에게… 절정… 당했다!?」",「―――――唔！，我竟然、被这个怪人…弄到高潮了！？」
,,,,,,,,
Nayuta.Fallen1-55,,「ぐううっ、私がっ…こんな雑魚にっ…」,「ぐううっ、私がっ…こんな雑魚にっ…」,「嗚嗚嗚，我竟然…被這種雜魚…」,"""Ugh, I... such a small fish...""","""Guuuh, for me to... by such a small fry...""","「크으으윽, 내가… 이런 잡것에게…」",「呜呜呜，我竟然…被这种杂鱼…」
,,,,,,,,
Nayuta.Fallen1-56,ゴブリン型怪人,「ゲギャッ♪　ゲギャッ♪」,「ゲギャッ♪　ゲギャッ♪」,「給嘎♪　給嘎♪」,♪ Geegaw ♪ ♪ Geegaw ♪,"""Gegya♪ Gegya♪""",「케갹♪　케갹♪」,「给嘎♪　给嘎♪」
,,,,,,,,
Nayuta.Fallen1-57,那由多,「っ、こんな屈辱っ、ぐうっ、絶対に許さな―――――」,「っ、こんな屈辱っ、ぐうっ、絶対に許さな―――――」,「唔，這種屈辱，嗚，絕對不會原諒―――――」,I'll never forgive this humiliation. ―――――,"""This humiliation... Guh... I'll never forgive...""","「윽, 이런 굴욕, 크윽, 절대로 용서하지 않―――――」",「唔，这种屈辱、呜，绝对不会原谅―――――」
,Nayuta darkness 1-7,,,,,,,
Nayuta.Fallen1-58,那由多,「んお゛お゛っ！？んん゛！？」,「んお゛お゛っ！？んん゛！？」,「嗯喔喔！？嗯嗯！」,"""Aaah! D― d― d― d―?","""Noooh!? Nnn!?""",「응오옷 오옷 옷!? 응응옷 !?」,「嗯喔喔！？嗯嗯！」
,,,,,,,,
Nayuta.Fallen1-59,ゴブリン型怪人,「ギャギャギャ♪♪」,「ギャギャギャ♪♪」,「嘎嘎嘎♪♪」,"♪ Gah, gah, gah ♪","""Gyagyagya♪♪""",「갸갸갸♪♪」,「嘎嘎嘎♪♪」
,Nayuta darkness 1-8,,,,,,,
Nayuta.Fallen1-60,那由多,「なっ！？、コイツッ、のペニス…が私の中にっ！？」,「なっ！？、コイツッ、のペニス…が私の中にっ！？」,「什麼！？這傢伙…的陰莖…竟然在我裡面！？」,"""What? He's got his penis inside me!","""What!? This thing's penis... is inside me!?""","「뭣!?, 이 자식, 의 페니스…가 내 안에!?」",「什么！？这家伙、的阴茎…竟然在我里面！？」
,,,,,,,,
Nayuta.Fallen1-61,那由多,「っ、今すぐその汚いものを抜きなさいっ！」,「っ、今すぐその汚いものを抜きなさいっ！」,「唔，馬上把那骯髒的東西拔出來！」,"Pull that filthy thing out now!""","""Pull that filthy thing out immediately!""","「윽, 지금 당장 그 더러운 것을 빼십시오!」",「唔，马上把那肮脏的东西拔出来！」
,,,,,,,,
Nayuta.Fallen1-62,,那由多は怪人を振り落とそうと必死に腰を動かす,那由多は怪人を振り落とそうと必死に腰を動かす,那由多拼命地擺動腰部，想把怪人甩下來。,Nayuta moves her hips frantically trying to shake off the monster.,Nayuta desperately moved her hips trying to shake off the fiend.,나유타는 괴인을 떨쳐내려 필사적으로 허리를 움직인다,那由多拼命地摆动腰部，想把怪人甩下来。
,,,,,,,,
Nayuta.Fallen1-63,ゴブリン型怪人,「ギャギャ？ギャッ！ギャッ！！」,「ギャギャ？ギャッ！ギャッ！！」,「嘎嘎？嘎！嘎！！」,"Gah―gah?"" Gah! Gah!!!""","""Gyagya? Gya! Gya!!""",「갸갸? 갹! 갹!!」,「嘎嘎？嘎！嘎！！」
,Nayuta darkness 1-7,,,,,,,
Nayuta.Fallen1-64,那由多,パンッ♥、パンッ♥、パンッ♥、パンッ♥！,パンッ♥、パンッ♥、パンッ♥、パンッ♥！,啪♥、啪♥、啪♥、啪♥！,"Pang ♥, pang ♥, pang ♥, pang ♥!",Slap♥ Slap♥ Slap♥ Slap♥!,"팡♥, 팡♥, 팡♥, 팡♥!",啪♥、啪♥、啪♥、啪♥！
,,,,,,,,
Nayuta.Fallen1-65,,「んおっ♥！、おっ♥、やめっ♥、腰をっ…振るなぁっ♥！」,「んおっ♥！、おっ♥、やめっ♥、腰をっ…振るなぁっ♥！」,「嗯喔♥！喔♥、住手♥、不准搖…腰啊♥！」,"""Oh, oh, oh! Don't... don't... don't... don't shake your hips!","""Noh♥! Oh♥ Stop♥ Don't... move your hips♥!""","「응오옷♥!, 옷♥, 그만둬♥, 허리를… 흔들지 마앗♥!」",「嗯喔♥！、喔♥、住手♥、不准摇…腰啊♥！」
,,,,,,,,
Nayuta.Fallen1-66,,怪人は那由多が抵抗するほど強くしがみつき、腰を激しく振る,怪人は那由多が抵抗するほど強くしがみつき、腰を激しく振る,怪人越是被那由多抵抗，就抱得越緊，搖擺腰部得越劇烈。,"The monster clings to Nayuta so tightly that she resists, and shakes her hips violently.","The more Nayuta resisted, the tighter the fiend clung to her, vigorously thrusting its hips.","괴인은 나유타가 저항할수록 강하게 매달려, 허리를 격렬하게 흔든다",怪人越是被那由多抵抗，就抱得越紧，摇摆腰部得越剧烈。
,Nayuta darkness 1-8,,,,,,,
Nayuta.Fallen1-67,,「んあっ゛♥、んっ♥、くうううっ♥、私がぁ♥、こんな雑魚にイかされるなどっ♥、あってはいけません♥♥！！」,「んあっ゛♥、んっ♥、くうううっ♥、私がぁ♥、こんな雑魚にイかされるなどっ♥、あってはいけません♥♥！！」,「嗯啊♥、嗯♥、嗚嗚嗚♥，我竟然♥，被這種雜魚弄到高潮♥，絕不允許♥♥！！」,I can't let this little fish make me come!,"""Naah♥ Nn♥ Kuuuh♥ For me♥ to be made to climax by such a small fry♥ This cannot be happening♥♥""","「응앗옷 ♥, 응읏♥, 크으으으웃♥, 내가아♥, 이런 잡것에게 가게 되다니♥, 있어서는 안 됩니다♥♥!!」",「嗯啊♥、嗯♥、呜呜呜♥，我竟然♥，被这种杂鱼弄到高潮♥，绝不允许♥♥！！」
,,,,,,,,
Nayuta.Fallen1-68,,パンッ♥、パンッ♥、パンッ♥、パンッ♥！,パンッ♥、パンッ♥、パンッ♥、パンッ♥！,啪♥、啪♥、啪♥、啪♥！,"Pang ♥, pang ♥, pang ♥, pang ♥!",Slap♥ Slap♥ Slap♥ Slap♥!,"팡♥, 팡♥, 팡♥, 팡♥!",啪♥、啪♥、啪♥、啪♥！
,,,,,,,,
Nayuta.Fallen1-69,ゴブリン型怪人,「ギャギャ！ギャッ！」,「ギャギャ！ギャッ！」,「嘎嘎！嘎！」,"Gah! Gah!""","""Gyagya! Gya!""",「갸갸! 갹!」,「嘎嘎！嘎！」
,,,,,,,,
