Key,Comment,Japanese,Japanese_Steam,English,Traditional Chinese_Steam,Traditional Chinese,Simplified Chinese,English_Steam,Korean_Steam,Simplified Chinese_Steam
Hisui.Fallen1-13,,「ううっ……これも財団に開発されたせい……っ♥、許せませんっ♥」,「ううっ……これも財団に開発されたせい……っ♥、許せませんっ♥」,,「嗚嗚……這也是因爲被財團開發的關係……♥，絕對不能原諒♥」,「嗚嗚……這也是財團開發的結果……♥，絕對不能原諒！」,,"""Uugh... This is also because the Foundation trianed me...ngh♥ I can't forgive them♥""","「으윽…… 이것도 재단에 개발된 탓……윽♥, 용서할 수 없습니다♥」",「呜呜……这也是因为被财团开发的关系……♥，绝对不能原谅♥」
,,,,,,,,,,
Hisui.Fallen1-14,,その時、ヒスイの電子デバイスからアラームが鳴る。,その時、ヒスイの電子デバイスからアラームが鳴る。,,那時，翡翠的電子裝置響起警報。,這時，翡翠的電子裝置發出警報聲。,,"At that moment, an alarm sounded from Hisui's electronic device.","그때, 히스이의 전자 기기에서 알람이 울린다.",那时，翡翠的电子装置响起警报。
,,,,,,,,,,
Hisui.Fallen1-15,,『フォーレン財団の戦闘員が〇〇町へ出現！危険ですので市民の皆さんは避難してください！』,『フォーレン財団の戦闘員が〇〇町へ出現！危険ですので市民の皆さんは避難してください！』,,「墮落財團的戰鬥員出現在〇〇町！由於很危險請市民們儘快避難！」,『福倫財團的戰鬥員出現在〇〇町！由於危險，請市民們盡快疏散！』,,"""Forren Foundation soldiers have appeared in XX! Citizens, please evacuate as it is dangerous!""",『폴른 재단의 전투원이 〇〇마을에 출현! 위험하니 시민 여러분은 피난해주십시오!』,「堕落财团的战斗员出现在〇〇町！由于很危险请市民们尽快避难！」
,,,,,,,,,,
Hisui.Fallen1-16,ヒスイ,「……戦闘員！？しかも〇〇町って…この辺じゃないですか……」,「……戦闘員！？しかも〇〇町って…この辺じゃないですか……」,,「……戰鬥員！？而且〇〇町…不是這附近嗎……」,「……戰鬥員！？而且還在〇〇町……這附近吧……」,,"""...Soldiers? In XX? Isn't that around here...""",「……전투원!? 게다가 〇〇마을이라니… 이 근처잖아요……」,「……战斗员！？而且〇〇町…不是这附近吗……」
,,,,,,,,,,
Hisui.Fallen1-17,,「……放っておいたらまた罪の無い女の人達が戦闘員にされてしまいますね……、」,「……放っておいたらまた罪の無い女の人達が戦闘員にされてしまいますね……、」,,「……放著不管的話，又會有無辜的女性被變成戰鬥員的……」,「……如果不管的話，又會有無辜的女性被變成戰鬥員呢……」,,"""If I leave them alone, more innocent women will be turned into soldiers...""","「……내버려두면 또 죄 없는 여자들이 전투원이 되어버리겠네요……,」",「……放着不管的话，又会有无辜的女性被变成战斗员的……，」
,,,,,,,,,,
Hisui.Fallen1-18,,「……でも今更私なんかが戦っても………」,「……でも今更私なんかが戦っても………」,,「……但現在的我就算去戰鬥也………」,「……但是現在的我要是參戰的話……」,,"""But even if I fight now...""",「……하지만 이제 와서 제가 싸워봤자………」,「……但现在的我就算去战斗也………」
,,,,,,,,,,
Hisui.Fallen1-19,,「っ、いえ…！私は最後の聖核戦姫です…普通の戦闘員ぐらいなんてことありません…！！」,「っ、いえ…！私は最後の聖核戦姫です…普通の戦闘員ぐらいなんてことありません…！！」,,「不對…！我是最後的聖核戰姬…普通的戰鬥員根本不算什麼…！！」,「啊、不……！我是最後的聖核戰姬……不可能變成普通的戰鬥員！！」,,"""No...! I am the last Holy Core Battlemaiden... Regular soldiers are nothing to me...!!""","「윽, 아니…! 저는 마지막 성핵전희입니다… 평범한 전투원 정도는 아무것도 아닙니다…!!」",「不对…！我是最后的圣核战姬…普通的战斗员根本不算什么…！！」
,,,,,,,,,,
Hisui.Fallen1-20,,「そう…戦闘員なんて……私が全員倒します……♥」,「そう…戦闘員なんて……私が全員倒します……♥」,,「對…戰鬥員什麼的……我會全部打倒……♥」,「是的…像戰鬥員這樣的……我會全部擊倒的……♥」,,"""That's right... Those soldiers... I'll defeat them all...♥""",「그래… 전투원 따위…… 제가 전부 쓰러뜨리겠습니다……♥」,「对…战斗员什么的……我会全部打倒……♥」
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Hisui.Fallen1-21,男戦闘員,「オラオラァ！女共を詰め込め！」,「オラオラァ！女共を詰め込め！」,,「喂喂！把女人們塞進去！」,「喔啦喔啦！把女共塞滿！」,,"""Come on! Pack those bitches in!""",「자자자! 여자들을 집어넣어!」,「喂喂！把女人们塞进去！」
,,,,,,,,,,
Hisui.Fallen1-22,,「ははっ、聖核戦姫がいなくなってからやりたい放題できて最高だな！」,「ははっ、聖核戦姫がいなくなってからやりたい放題できて最高だな！」,,「哈哈，聖核戰姬們消失之後就能為所欲為了，太爽了！」,「哈哈，自從聖核戰姬不在了，我們就可以隨心所欲，太棒了！」,,"""Haha, now that the Holy Core Battlemaidens are gone, we can do whatever we want! This is the best!""","「하핫, 성핵전희가 없어져서 마음대로 할 수 있어서 최고네!」",「哈哈，圣核战姬们消失之后就能为所欲为了，太爽了！」
,,,,,,,,,,
Hisui.Fallen1-23,ヒスイ(私服),「待ちなさいっ…！」,「待ちなさいっ…！」,,「等一下…！」,「等一下…！」,,"""Stop right there...!""",「기다리세요…!」,「等一下…！」
,,,,,,,,,,
Hisui.Fallen1-24,男戦闘員,「ああ？なんだぁ小娘？」,「ああ？なんだぁおまえ？」,,「啊？妳是誰啊？」,「啊？什麼？小娘？」,,"""Huh?! Who the hell are you?!""",「아아? 뭐야 너?」,「啊？你是谁啊？」
,,,,,,,,,,
Hisui.Fallen1-25,ヒスイ,(うっ…改めて見ると戦闘員ってこんなに筋肉質で大きかったんですね…),(うっ…改めて見ると戦闘員ってこんなに筋肉質で大きかったんですね…),,（嗚…重新審視之後，戰鬥員原來這麼肌肉發達又巨大啊…）,「唔…再次看到，戰鬥員原來這麼肌肉發達又高大啊…」,,"(Ugh... Looking at them again, the soldiers really are muscular and big...)",(윽… 다시 보니 전투원은 이렇게나 근육질에 컸었네요…),（呜…重新审视之后，战斗员原来这么肌肉发达又巨大啊…）
,,,,,,,,,,
Hisui.Fallen1-26,,(そ、それに……戦闘服の上からでもわかる……おおきな…おちん………),(そ、それに……戦闘服の上からでもわかる……おおきな…おちん………),,（而且……就算隔著戰鬥服也能看出……巨大的…陰莖………),(而、而且……就算穿著戰鬥服也能看得出來……那個大……肌肉……),,(A-and... even through their combat suits I can see... their big... c-co...),"(그, 게다가…… 전투복 위에서라도 알 수 있어…… 큰… 자지………)",（而且……就算隔着战斗服也能看出……巨大的…阴茎………)
,,,,,,,,,,
Hisui.Fallen1-27,,(な、何を考えてるんですか…！戦闘員は私の敵……倒さないとっ……),(な、何を考えてるんですか…！戦闘員は私の敵……倒さないとっ……),,（在、在想什麼啊…！戰鬥員是我的敵人……得打倒才行……）,(你、你在想什麼啊…！戰鬥員是我的敵人……必須打倒她……),,(W-what am I thinking...! They are my enemy... I have to defeat them...),"(뭐, 뭘 생각하는 겁니까…! 전투원은 제 적…… 쓰러뜨려야 해……)",（在、在想什么啊…！战斗员是我的敌人……得打倒才行……）
,,,,,,,,,,
Hisui.Fallen1-28,,「ふぉ、フォーレン財団の戦闘員…乱暴は許しません…！」,「ふぉ、フォーレン財団の戦闘員…乱暴は許しません…！」,,「墮落財團的戰鬥員…不准亂來…！」,「福倫財團的戰鬥員…不會容忍粗暴…！」,,"""F-Forren Foundation soldiers... I won't allow this violence...!""","「포, 폴른 재단의 전투원… 난폭한 짓은 용서하지 않아요…!」",「堕落财团的战斗员…不准乱来…！」
,,,,,,,,,,
Hisui.Fallen1-29,,「変身っ…聖核戦姫：コードヒスイ――――」,「変身っ…聖核戦姫：コードヒスイ――――」,,「變身…聖核戰姬：代號翡翠────」,「變身…聖核戰姬：代碼翡翠――――」,,"""Transform... Holy Core Battlemaiden: Code Hisui!""",「변신… 성핵전희: 코드 히스이――――」,「变身…圣核战姬：代号翡翠────」
,,,,,,,,,,
Hisui.Fallen1-30,男戦闘員,「ああ？何言ってやがる？メスガキが…お前も戦闘員になるんだよっ！！！」,「ああ？何言ってやがる？地味女が…お前も戦闘員になるんだよっ！！！」,,「啊？到底說什麼啊？土氣女…妳也要變成戰鬥員啦！！！」,「啊？你在說什麼？小娘們…你也會成為戰鬥員的！！！」,,"""Huh?! What are you babbling about?! You bitch... You're gonna become a soldier too!!!""",「아아? 무슨 소리야? 촌스러운 여자가… 너도 전투원이 되는 거야!!!」,「啊？到底说什么啊？土气女…你也要变成战斗员啦！！！」
,,,,,,,,,,
Hisui.Fallen1-31,ヒスイ,「あっ、はいっ！き、きいっ！！」,「あっ、はいっ！き、きいっ！！」,,「啊，是！是、是的！！」,「啊、好的！聽、聽！！」,,"""Ah, yes! K-kii!!""","「앗, 네엣! 키, 키잇!!」",「啊，是！是、是的！！」
,,,,,,,,,,
Hisui.Fallen1-32,,男戦闘員からの命令口調に、ヒスイは反射的に戦闘員の敬礼の声を出してしまう,男戦闘員からの命令口調に、ヒスイは反射的に戦闘員の敬礼の声を出してしまう,,面對男戰鬥員的命令口吻，翡翠反射性地發出戰鬥員的敬禮聲。,在男性戰鬥員的命令口吻下，翡翠反射性地發出了戰鬥員的敬禮聲音。,,"At the male soldier's commanding tone, Hisui reflexively let out the their salute.","남자 전투원으로부터의 명령조에, 히스이는 반사적으로 전투원의 경례 목소리를 내버린다",面对男战斗员的命令口吻，翡翠反射性地发出战斗员的敬礼声。
,,,,,,,,,,
Hisui.Fallen1-33,,「えっ、わ、私何を言って…早く変身しないとっ……！」,「えっ、わ、私何を言って…早く変身しないとっ……！」,,「欸，我、我說了什麼…得快點變身才行……！」,「啊、我、我在說什麼… 快點變身不行……！」,,"""Eh, w-what did I just say... I need to transform quickly...!""","「엣, 나, 나 뭘 말하고… 빨리 변신해야 해……!」",「欸，我、我说了什么…得快点变身才行……！」
,,,,,,,,,,
Hisui.Fallen1-34,男戦闘員,「なんだぁ…こいつ？まあいい…オラッ！大人しくしやがれ！」,「なんだぁ…こいつ？まあいい…オラッ！大人しくしやがれ！」,,「到底怎麽一回事啊…這傢伙？算了…喂！給我老實點！」,「這傢伙是誰？算了…喂！老老實寡言點！」,,"""What the hell... is with her?! Whatever... Hey! Stay still!""",「뭐야… 이 녀석? 뭐 좋아… 자! 얌전히 있어!」,「到底怎么一回事啊…这家伙？算了…喂！给我老实点！」
,,,,,,,,,,
Hisui.Fallen1-35,ヒスイ,「あっ…ちょっと待ってください――――！」ドカッ！,「あっ…ちょっと待ってください――――！」ドカッ！,,「啊…等一下────！」咚！,「啊…請等一下——！」砰！,,"""Ah... wait a moment...!"" Thud!",「앗… 잠깐 기다려주세요――――!」 두칵!,「啊…等一下────！」咚！
,,,,,,,,,,
Hisui.Fallen1-36,,ヒスイは戦闘員によって気絶させられ、トラックの中へと詰め込まれるのだった,ヒスイは戦闘員によって気絶させられ、トラックの中へと詰め込まれるのだった,,翡翠被戰鬥員打暈，就這樣被塞進卡車裡了。,翡翠被戰鬥員擊昏，然後被塞進卡車裡。,,Hisui was knocked unconscious by the soldier and stuffed into the truck.,히스이는 전투원에게 기절당한 뒤 트럭 안에 처넣어졌다,翡翠被战斗员打晕，就这样被塞进卡车里了。
,,,,,,,,,,
,暗転,,,,,,,,,
,Hisui story DLC 2-1,,,,,,,,,
Hisui.Fallen1-37,ヒスイ,(………ううっ…ここは……？),(………ううっ…ここは……？),,（………嗚嗚…這裡是……？）,(………唔唔…這裡是……？),,(Ugh... Where is this...?!),(………으윽… 여기는……?),（………呜呜…这里是……？）
,,,,,,,,,,
Hisui.Fallen1-38,,(…！戦闘員化施設……！？),(…！戦闘員化施設……！？),,（…！戰鬥員化設施……！？）,(…！戰鬥員化設施……！？),,(The soldier conversion facility...?!),(…! 전투원화 시설……!?),（…！战斗员化设施……！？）
,,,,,,,,,,
Hisui.Fallen1-39,,(ま、まずいです…体が動かせない…早く変身…聖核戦姫に……),(ま、まずいです…体が動かせない…早く変身…聖核戦姫に……),,（不、不妙…身體動不了…得快點變身…聖核戰姬……）,(糟糕了…身體動彈不得…快點變身…成為聖核戰姬……),,(T-this is bad... I can't move my body... I need to transform quickly... into a Holy Core Battlemaiden...),"(위, 위험해요… 몸을 움직일 수 없어… 빨리 변신… 성핵전희로……)",（不、不妙…身体动不了…得快点变身…圣核战姬……）
,,,,,,,,,,
Hisui.Fallen1-40,,【対象の意識の覚醒を確認。只今より戦闘員化プログラムを開始します。】,【対象の意識の覚醒を確認。只今より戦闘員化プログラムを開始します。】,,【確認對象意識已甦醒。現在開始啟動戰鬥員化程式。】,【確認目標意識覺醒。現在開始戰鬥員化程序。】,,[Subject's consciousness awakening confirmed. Beginning soldier conversion program now.],【대상 의식 각성 확인. 지금부터 전투원화 프로그램 개시합니다.】,【确认对象意识已苏醒。现在开始启动战斗员化程序。】
,,,,,,,,,,
Hisui.Fallen1-41,ヒスイ,(戦闘員化プログラム……！…！？),(戦闘員化プログラム……！…！？),,（戰鬥員化程式……！…！？）,(戰鬥員化程序……！…！？),,(Soldier conversion program...! ...?!),(전투원화 프로그램……!…!?),（战斗员化程序……！…！？）
,,,,,,,,,,
Hisui.Fallen1-42,ヒスイ,(だ、駄目です…このままでは……また戦闘員に……♥),(だ、駄目です…このままでは……また戦闘員に……♥),,（不、不行…這樣下去……又要變成戰鬥員了……♥）,(不、不行…這樣下去的話……又要變成戰鬥員了……♥),,(N-no... at this rate... I'll become a soldier again...♥),"(아, 안 돼요… 이대로는…… 또 전투원으로……♥)",（不、不行…这样下去……又要变成战斗员了……♥）
,,,,,,,,,,
Hisui.Fallen1-43,,(また……あの戦闘員としての……最悪な毎日が……♥),(また……あの戦闘員としての……最悪な毎日が……♥),,（又……作爲戰鬥員的……最糟糕的日子……♥）,(又……那種作為戰鬥員的……最糟糕的每一天……♥),,(Again... those terrible days as a soldier...♥),(또…… 저 전투원으로서의…… 최악의 매일이……♥),（又……作为战斗员的……最糟糕的日子……♥）
,,,,,,,,,,
Hisui.Fallen1-44,,(……いえ、よく考えたら逆にチャンスでは……もう一回侵入できたのですし),(……いえ、よく考えたら逆にチャンスでは……もう一回侵入できたのですし),,（……不過，仔細想想反而是機會……這樣的話又能侵入了）,(……不，仔細一想，這反而是個機會……既然已經成功再次入侵了),,"(...No, thinking about it, this might actually be a chance... I've managed to infiltrate again...)","(……아니요, 잘 생각해보니 오히려 기회일지도…… 한 번 더 잠입할 수 있었으니까요)",（……不过，仔细想想反而是机会……这样的话又能侵入了）
,,,,,,,,,,
Hisui.Fallen1-45,,(そう……今度こそ戦闘員として完璧に振舞えば…内部から財団を倒せます……っ！),(そう……今度こそ戦闘員として完璧に振舞えば…内部から財団を倒せます……っ！),,（對……這次只要完美地裝成戰鬥員…就能從內部打倒財團……！）,(是的……這次只要完美地表現成為戰鬥員……就能從內部擊敗財團……！),,(That's right... if I act perfectly as a soldier this time... I can destroy the Foundation from within...!),(그래…… 이번에야말로 전투원으로서 완벽하게 행동하면… 내부에서 재단을 쓰러뜨릴 수 있습니다……!),（对……这次只要完美地装成战斗员…就能从内部打倒财团……！）
,,,,,,,,,,
Hisui.Fallen1-46,Hisui DLC 2-2,バチバチバチッ！！,バチバチバチッ！！,,啪滋啪滋啪滋！！,嘭嘭嘭！！,,Zap zap zap!!,바치바치바칫!!,啪滋啪滋啪滋！！
,,,,,,,,,,
Hisui.Fallen1-47,ヒスイ,「お゛っ♥ほお゛っ！？」,「お゛っ♥ほお゛っ！？」,,「喔♥吼！？」,「喔♥嗚喔！？」,,"""Oghhh♥ hohhh?!""",「오옷 옷♥ 호오옷 옷!?」,「喔♥吼！？」
,,,,,,,,,,
Hisui.Fallen1-48,ヒスイ,(うっ、うそっ…♥、こんなはずっ…！？),(うっ、うそっ…♥、こんなはずっ…！？),,（嗚，騙人…♥，怎麼會…！？）,(嗚、不可能…♥、怎麼會這樣…！？),,(N-no way...♥ this can't be...?!),"(윽, 거짓말…♥, 이럴 리가…!?)",（呜，骗人…♥，怎么会…！？）
,,,,,,,,,,
Hisui.Fallen1-49,,(洗脳…前にやられた時よりっ……強力になってる……？),(教育…前にやられた時よりっ……強力になってる……？),,（教育…比之前被做時……更強力了……？）,(洗腦…比之前被攻擊時更加……強大了……？),,(The re-educating... it's more powerful than last time...?!),(세뇌… 전에 당했을 때보다…… 강력해졌어……?),（教育…比之前被做时……更强力了……？）
,,,,,,,,,,
Hisui.Fallen1-50,,【戦闘員化プログラム中の不要な思考は禁止されます。】,【戦闘員化プログラム中の不要な思考は禁止されます。】,,【戰鬥員化程序中禁止不必要的思考。】,【在戰鬥員化程序中，禁止不必要的思考。】,,[Unnecessary thoughts during soldier conversion program are prohibited.],【전투원화 프로그램 중 불필요한 사고는 금지됩니다.】,【战斗员化程序中禁止不必要的思考。】
,,,,,,,,,,
Hisui.Fallen1-51,ヒスイ,「き、きぃっ！」,「き、きぃっ！」,,「嘰、嘰！」,「啊、啊！」,,"""K-kii!""","「키, 키잇!」",「吱、吱！」
,,,,,,,,,,
Hisui.Fallen1-52,,【対象者の身体能力のオーバースペックを確認。これより平均化作業へ移行します。】,【対象者の身体能力のオーバースペックを確認。これより平均化作業へ移行します。】,,【確認目標身體能力過高。現在轉移至平均化作業。】,【確認目標對象的身體能力過剩。接下來將進行平均化作業。】,,[Subject's physical abilities confirmed to be above specifications. Proceeding to standardization process.],【대상자 신체 능력 오버 스펙 확인. 지금부터 평균화 작업으로 이행합니다.】,【确认目标身体能力过高。现在转移至平均化作业。】
,,,,,,,,,,
Hisui.Fallen1-53,,(ま、まずいです…このままだと本当に洗脳されて――――――――),(ま、まずいです…このままだと本当に教育されて――――――――),,（不、不妙…這樣下去真的會被教育───────）,(糟糕了…如果這樣下去真的會被洗腦――――――――),,(T-this is bad... at this rate I'll really be re-educated...),"(위, 위험해요… 이대로라면 정말 세뇌당해서――――――――)",（不、不妙…这样下去真的会被教育───────）
,,,,,,,,,,
Hisui.Fallen1-54,,バチッ！バチバチバチッ！！,バチッ！バチバチバチッ！！,,啪滋！啪滋啪滋啪滋！！,嘭！嘭嘭嘭嘭！！,,"Zap! Bzzzt, bzzzt, bzzzt!",바칫! 바치바치바칫!!,啪滋！啪滋啪滋啪滋！！
,,,,,,,,,,
Hisui.Fallen1-55,ヒスイ,「お゛お゛っ♥！？、お゛お゛っ♥！？」,「お゛お゛っ♥！？、お゛お゛っ♥！？」,,「嗚♥！嗚啊♥！！？」,「喔喔♥！？喔喔♥！」,,"""Oghhoghhh♥?! Oghhoghhh♥?!""","「오옷 오옷 옷♥!?, 오옷 오옷 옷♥!?」",「呜♥！、呜啊♥！！？」
,,,,,,,,,,
Hisui.Fallen1-56,,【身体能力の低下作業を進行中。戦闘員標準まで残り80%】,【身体能力の低下作業を進行中。戦闘員標準まで残り80%】,,【身體能力降低作業進行中。距離戰鬥員標準剩餘80%】,【正在進行身體能力下降作業。距離戰鬥員標準還剩80%】,,[Physical ability reduction in progress. 80% remaining until soldier standard.],【신체 능력 저하 작업 진행 중. 전투원 표준까지 남은 80%】,【身体能力降低作业进行中。距离战斗员标准剩馀80%】
,,,,,,,,,,
Hisui.Fallen1-57,,(まっ、まずいですっ！これっ…抵抗して…早く変身しないと…戻れなくなって――――),(まっ、まずいですっ！これっ…抵抗して…早く変身しないと…戻れなくなって――――),,（不、不妙！這…得抵抗…快點變身不然…回不去了────）,(糟、糟糕了！這個...要抵抗...快點變身，不然...就回不去了―――),,(T-this is really bad! I need to... resist... transform quickly or I won't be able to return...),"(위, 위험해요! 이거… 저항해서… 빨리 변신하지 않으면… 돌아갈 수 없게 돼서――――)",（不、不妙！这…得抵抗…快点变身不然…回不去了────）
,,,,,,,,,,
Hisui.Fallen1-58,,バチッ！バチバチバチッ！！,バチッ！バチバチバチッ！！,,啪滋！啪滋啪滋啪滋！！,嘭！嘭嘭嘭嘭！！,,"Zap! Bzzzt, bzzzt, bzzzt!",바칫! 바치바치바칫!!,啪滋！啪滋啪滋啪滋！！
,,,,,,,,,,
Hisui.Fallen1-59,ヒスイ,「お゛お゛っ♥！？」,「お゛お゛っ♥！？」,,「啊♥！？」,「喔喔♥！？」,,"""Oghhoghhh♥?!""",「오옷 오옷 옷♥!?」,「啊♥！？」
,,,,,,,,,,
Hisui.Fallen1-60,,【身体能力の低下作業を進行中。戦闘員標準まで残り70%】,【身体能力の低下作業を進行中。戦闘員標準まで残り70%】,,【身體能力降低作業進行中。距離戰鬥員標準剩餘70%】,【正在進行身體能力下降作業。距離戰鬥員標準還剩70%】,,[Physical ability reduction in progress. 70% remaining until soldier standard.],【신체 능력 저하 작업 진행 중. 전투원 표준까지 남은 70%】,【身体能力降低作业进行中。距离战斗员标准剩馀70%】
,,,,,,,,,,
Hisui.Fallen1-61,,(まっ、待ってくださいっ…！！),(まっ、待ってくださいっ…！！),,（等、等一下…！！）,(等、等一下...！！),,"(W-wait, please...!!)","(자, 잠깐만요!!)",（等、等一下…！！）
,,,,,,,,,,
Hisui.Fallen1-62,,バチッ！バチバチバチッ！！,バチッ！バチバチバチッ！！,,啪滋！啪滋啪滋啪滋！！,嘭！嘭嘭嘭嘭！！,,"Zap! Bzzzt, bzzzt, bzzzt!",바칫! 바치바치바칫!!,啪滋！啪滋啪滋啪滋！！
,,,,,,,,,,
Hisui.Fallen1-63,,「ひぐうっ！？」,「ひぐうっ！？」,,「嗚咕！」,「嗚咕！」,,"""Higuuh?!""",「히극우웃!?」,「呜咕！」
,,,,,,,,,,
,暗転,,,,,,,,,
,,,,,,,,,,
Hisui.Fallen1-64,,【身体能力の低下作業を進行中。戦闘員標準まで残り0%。これにて身体能力低下作業を終了します。】,【身体能力の低下作業を進行中。戦闘員標準まで残り0%。これにて身体能力低下作業を終了します。】,,【身體能力降低作業進行中。距離戰鬥員標準剩餘0%。以此結束身體能力降低作業。】,【正在進行身體能力下降作業。距離戰鬥員標準還剩0%。這樣身體能力下降作業就結束了。】,,[Physical ability reduction in progress. 0% remaining to soldier standard. Physical ability reduction complete.],【신체 능력 저하 작업 진행 중. 전투원 표준까지 남은 0%. 이것으로 신체 능력 저하 작업을 종료합니다.】,【身体能力降低作业进行中。距离战斗员标准剩馀0%。以此结束身体能力降低作业。】
,,,,,,,,,,
Hisui.Fallen1-65,ヒスイ,(あっ♥、そ、そんなっ…！？),(あっ♥、そ、そんなっ…！？),,（啊♥，怎、怎麼這樣…！？）,(啊♥、那、那樣的...！？),,(Ah♥ n-no way...?!),"(앗♥, 그, 그런…!?)",（啊♥，怎、怎么这样…！？）
,,,,,,,,,,
