Key,Comment,Japanese,Traditional Chinese,Simplified Chinese,Japanese_Steam,Traditional Chinese_Steam,English_Steam,Korean_Steam,Simplified Chinese_Steam
Dialog.DLC-P-9,クローン戦闘員,「洗脳に対する耐性があるのかも…？また技術幹部のケイさんに報告する必要がありそうですね。」,「對洗腦有耐性的可能性...？看來需要向技術幹部京小姐報告了呢。」,,「教育に対する耐性があるのかも…？また技術幹部のケイさんに報告する必要がありそうですね。」,「也許對教育有某種耐性吧……？看來得再向技術幹部的京女士報告一次了。」,"""Perhaps she has resistance to re-educating...? We'll need to report this to Technical Executive Kei.""",「세뇌에 대한 내성이 있는 걸지도…? 다시 기술 간부 케이 씨에게 보고할 필요가 있겠군요.」,「也许对教育有某种耐性吧……？看来得再向技术干部的京女士报告一次了。」
,,,,,,,,,
Dialog.DLC-P-10,???,（……………っ……）,（……………）,,（……………っ……）,（…………………）,(...),(……………윽……),（…………………）
,,,,,,,,,
Dialog.DLC-P-11,クローン戦闘員,「引き続き経過観察……なにもなければ聖核排泄の後、苗床工場へ輸送しましょう。」,「繼續觀察情況...若無異常，聖核排泄後，將其運送至育苗工廠。」,,「引き続き経過観察……なにもなければ聖核排泄の後、苗床工場へ輸送しましょう。」,「持續進行經過觀察……若沒有特別情況，在排出聖核之後，就將她送往苗床工廠吧。」,"""Continue observation... if nothing changes, after Holy Core extraction, transport her to the seedbed factory.""","「계속해서 경과 관찰…… 아무 일 없으면 성핵 배설 후, 묘상 공장으로 수송합시다.」",「持续进行经过观察……若没有特别情况，在排出圣核之后，就将她送往苗床工厂吧。」
,,,,,,,,,
Dialog.DLC-P-12,???,（……………）,（……………）,,（……………）,（……………）,(...),(……………),（……………）
,,,,,,,,,
Dialog.DLC-P-13,???,（……………誰か……助け……………）,（……………誰在那裡……救命……………）,,（……………誰か……助け……………）,（……………誰來……救救……………）,(...Someone... help...),(……………누군가…… 도와줘……………),（……………谁来……救救……………）
,,,,,,,,,
Dialog.DLC-P-14,,（……………）,（……………）,,（……………）,（……………）,(...),(……………),（……………）
,暗転,,,,,,,,
,,,,,,,,,
Dialog.DLC-P-15,ワールドマップ,聖核戦姫とフォーレン財団の戦いからしばらくの時が経ち―――,從聖核戰姬與福倫財團的戰鬥過了一段時間———,,聖核戦姫とフォーレン財団の戦いからしばらくの時が経ち―――,自從聖核戰姬與墮落財團之間的戰鬥結束後，時間過去了許久―――,Some time had passed since the battle between the Holy Core Battlemaidens and the Forren Foundation,성핵전희와 폴른 재단의 싸움으로부터 얼마의 시간이 흐르고―――,自从圣核战姬与堕落财团之间的战斗结束后，时间过去了许久―――
,,,,,,,,,
Dialog.DLC-P-16,,聖核戦姫の総本山、聖月生徒会は陥落し、ほぼ全ての聖核戦姫は財団へ捕らえられた。,聖核戰姬的總本山，聖月學生會已經陷落，幾乎所有的聖核戰姬都被財團俘虜了。,,聖核戦姫の総本山、ホーリーコア・レギオン司令部は陥落し、ほぼ全ての聖核戦姫は財団へ捕らえられた。,聖核戰姬的總部──「聖核軍團」司令部已經全面失守，幾乎所有的聖核戰姬都被財團抓走了。,"The Holy Core Battlemaidens' headquarters, Holy Core Legion Command, had fallen, and almost all Holy Core Battlemaidens were captured by the Foundation.","성핵전희의 총본산, 홀리코어 레기온 사령부는 함락되고, 거의 모든 성핵전희는 재단에 붙잡혔다.",圣核战姬的总部──圣核军团司令部已经全面失守，几乎所有的圣核战姬都被财团抓走了。
,,,,,,,,,
Dialog.DLC-P-17,,財団は世界を征服するべく、聖核戦姫を改造・利用し、着々と戦力を拡大していた,財團正在改造和利用聖核戰姬，穩步擴大其戰力，以征服世界。,,財団は世界を征服するべく、聖核戦姫を改造・利用し、着々と戦力を拡大していた,為了征服世界，財團對聖核戰姬進行改造與利用，穩步擴張著自身的戰力。,The Foundation steadily expanded its forces by modifying and utilizing the Holy Core Battlemaidens to conquer the world.,"재단은 세계를 정복하기 위해, 성핵전희를 개조하고 이용하여, 착착 전력을 확대하고 있었다",为了征服世界，财团对圣核战姬进行改造与利用，稳步扩张着自身的战力。
,,,,,,,,,
,アジト,,,,,,,,
,,,,,,,,,
Dialog.DLC-P-18,SEL,「……では生産幹部アキホ、財務幹部エレナ、軍事幹部ナユタ、技術幹部ケイ、それぞれ報告を。」,「……那麼生產幹部明穗、財務幹部艾蓮娜、軍事幹部那由多、技術幹部京，請各自匯報。」,,「……では生産幹部アキホ、財務幹部エレナ、軍事幹部ナユタ、技術幹部ケイ、それぞれ報告を。」,「……那麼，生產幹部明穗、財務幹部艾蓮娜、軍事幹部那由多、技術幹部京，請各自進行報告。」,"""Production Exec Akiho, Finance Exec Erena, Military Exec Nayuta, Tech Exec Kei. Reports.""","「……그럼 생산 간부 아키호, 재무 간부 엘레나, 군사 간부 나유타, 기술 간부 케이, 각각 보고를.」",「……那么，生产干部明穗、财务干部艾莲娜、军事干部那由多、技术干部京，请各自进行报告。」
,,,,,,,,,
Dialog.DLC-P-19,明穂闇落ち,「順調だよ～！聖核戦姫の改造ミルクは沢山取れてるし、触手ちゃん達も元気に育ってるみたい！」,「進展順利呢~！聖核戰姬的改造牛奶取得很多，觸手們也看起來長得很健康！」,,「順調だよ～！聖核戦姫の改造ミルクは沢山取れてるし、触手ちゃん達も元気に育ってるみたい！」,「一切都很順利喔～！從聖核戰姬那裡榨取的改造用奶順利量產，觸手小寶寶們也都健健康康地長大呢！」,"""It's going well! We're getting lots of modified milk from the Holy Core Battlemaidens, and the tentacles are growing healthy!""","「순조로워~! 성핵전희 개조 밀크는 잔뜩 나오고 있고, 촉수쨩들도 건강하게 자라고 있는 것 같아!」",「一切都很顺利喔～！从圣核战姬那里榨取的改造用奶顺利量产，触手小宝宝们也都健健康康地长大呢！」
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dialog.DLC-P-20,エレナ,「……組織の成長率は前期比+54％……組織は順調に成長していると言えるでしょう。」,「……組織的成長率相較上期增加了54％……可以說組織正在順利成長。」,,「……組織の成長率は前期比+54％……組織は順調に成長していると言えるでしょう。」,「……組織的成長率較前期提升了 54%。可以說整體運作相當順利。」,"""...Organizational growth rate is +54% compared to last period... We can say the organization is growing steadily.""",「……조직 성장률은 전기 대비 +54％…… 조직은 순조롭게 성장하고 있다고 할 수 있겠죠.」,「……组织的成长率较前期提升了 54%。可以说整体运作相当顺利。」
,,,,,,,,,
Dialog.DLC-P-21,那由多,「我々の支配領域は半年間でおよそ2倍になりました。レジスタンスに対してもこちらが優勢です。」,「我們的支配領域在半年內增加了大約兩倍。對抗勢力，我們處於優勢地位。」,,「我々の支配領域は半年間でおよそ2倍になりました。レジスタンスに対してもこちらが優勢です。」,「我們支配的領域在這半年內大約擴大了兩倍，對抗抵抗勢力時也始終由我們這邊佔上風。」,"""Our controlled territory has roughly doubled in six months. We also have the advantage against the resistance.""",「저희 지배 영역은 반년 만에 약 2배가 되었습니다. 레지스탕스에 대해서도 이쪽이 우세입니다.」,「我们的支配领域在这半年内大约扩大了两倍，对抗抵抗势力时也始终由我们这边占上风。」
,,,,,,,,,
Dialog.DLC-P-22,,「ただ………。」,「但是………。」,,「ただ………。」,「不過呢………」,"""However...""",「단지……….」,「不过呢………」
,,,,,,,,,
Dialog.DLC-P-23,,「現状のクローンと怪人の人数では支配地域を維持する事は困難になりつつあります。」,「目前克隆體和怪人的數量，維持支配領域變得越來越困難。」,,「現状のクローンと怪人の人数では支配地域を維持する事は困難になりつつあります。」,「以目前的克隆人和怪人數量來看，要維持現在的支配區域已經漸漸變得吃力了。」,"""With our current numbers of clones and monsters, maintaining controlled territories is becoming difficult.""",「현재 클론과 괴인의 인원수로는 지배 지역을 유지하는 것이 곤란해지고 있습니다.」,「以目前的克隆体和怪人数量来看，要维持现在的支配区域已经渐渐变得吃力了。」
,,,,,,,,,
Dialog.DLC-P-24,,「更に支配地域を広げるためにはより多くの戦闘員が必要となるでしょう。」,「要擴大支配領域，將需要更多的戰鬥員。」,,「更に支配地域を広げるためにはより多くの戦闘員が必要となるでしょう。」,「若要進一步擴大支配範圍，就需要更多戰鬥員。」,"""To further expand our controlled territories, we'll need more soldiers.""",「더욱 지배 지역을 넓히기 위해서는 더 많은 전투원이 필요하게 될 것입니다.」,「若要进一步扩大支配范围，就需要更多战斗员。」
,,,,,,,,,
Dialog.DLC-P-25,,「……そこでケイさん、頼んでおいたものは完成しているでしょうか？」,「……所以京，我請你幫忙辦的事情完成了嗎？」,,「……そこでケイさん、頼んでおいたものは完成しているでしょうか？」,「……所以，京小姐，我之前拜託妳的東西完成了嗎？」,"""...So Kei, have you completed what I requested?""","「……그래서 케이 씨, 부탁했던 것은 완성되었을까요?」",「……所以，京小姐，我之前拜托你的东西完成了吗？」
,,,,,,,,,
Dialog.DLC-P-26,京,「もちろん。きたまえ下級戦闘員達……！」,「當然。來吧，下級戰鬥員們……！」,,「もちろん。きたまえ下級戦闘員達……！」,「當然囉。進來吧，下級戰鬥員們……！」,"""Of course. Come in, junior soldiers...!""",「물론. 오너라 하급 전투원들아……!」,「当然啰。进来吧，下级战斗员们……！」
,,,,,,,,,
Dialog.DLC-P-27,,京がそう言うと部屋の中に何人かの仮面をつけた女が入ってくる。,猫宮京說完後，戴著面具的女性走進房間裡。,,京がそう言うと部屋の中に何人かの仮面をつけた女が入ってくる。,京說完後，幾名戴著面具的女子走進房間。,"As Kei said this, several masked women entered the room.",케이가 그렇게 말하자 방 안에 여러 명의 가면을 쓴 여성들이 들어온다.,京说完后，几名戴着面具的女子走进房间。
,,,,,,,,,
Dialog.DLC-P-28,女戦闘員×３,「「「キィ――――――――ッ！！！」」」,「「「啊——！！！」」」,,「「「キィ――――――――ッ！！！」」」,「「「嘰————————！！！」」」,"""Kiiiii!!!""",「「「키이――――――――잇!!!」」」,「「「吱——！！！」」」
,,,,,,,,,
Dialog.DLC-P-29,,戦闘員達は甲高い声を上げてピシっと京の前で敬礼をする。,戰鬥員們高聲喊著，整齊地在猫宮京面前行禮。,,戦闘員達は甲高い声を上げてピシっと京の前で敬礼をする。,戰鬥員們發出尖銳的叫聲，啪地一聲在京面前立正敬禮。,The soldiers let out high-pitched voices and saluted sharply before Kei.,전투원들은 날카로운 목소리를 내며 빳빳하게 케이 앞에서 경례를 한다.,战斗员们发出尖锐的叫声，啪地一声在京面前立正敬礼。
,,,,,,,,,
Dialog.DLC-P-30,京,「どうだい？言われた通りの出来栄えだろ？」,「怎麼樣？做得如你所吩咐的一樣出色吧？」,,「どうだい？言われた通りの出来栄えだろ？」,「怎麼樣？和你要求的一模一樣吧？」,"""How about that? They're exactly as requested, aren't they?""",「어때? 말했던 대로의 결과물이지?」,「怎么样？和你要求的一模一样吧？」
,,,,,,,,,
Dialog.DLC-P-31,,「その辺の一般人を捕まえて、簡単な疑似聖核埋め込み手術と洗脳で作った戦闘員だ。」,「抓住一般人，進行簡單的模擬聖核植入手術和洗腦，製造出的戰鬥員。」,,「その辺の一般人を捕まえて、簡単な疑似聖核埋め込み手術と教育で作った戦闘員だ。」,「是隨機抓來的一般市民，施加簡易的仿製聖核移植手術，再配合教育做成的戰鬥員。」,"""These are soldiers created by capturing ordinary people and performing simple pseudo-Holy Core implant surgery and re-education.""","「근처의 일반인을 붙잡아, 간단한 유사 성핵 이식 수술과 세뇌로 만든 전투원이야.」",「是随机抓来的一般市民，施加简易的仿制圣核移植手术，再配合教育做成的战斗员。」
,,,,,,,,,
Dialog.DLC-P-32,,「戦闘力は聖核戦姫のクローンには遠く及ばないが…コストは10分の1以下だ、経済的だろ？」,「戰鬥力雖然遠不及聖核戰姬的克隆體…但成本不到原本的十分之一，經濟實惠吧？」,,「戦闘力は聖核戦姫のクローンには遠く及ばないが…コストは10分の1以下だ、経済的だろ？」,「戰鬥力遠比不上聖核戰姬的克隆人……但成本只有十分之一以下，很划算吧？」,"""Their combat power doesn't come close to Holy Core Battlemaiden clones... but the cost is less than one-tenth, economical, right?""","「전투력은 성핵전희 클론에는 한참 미치지 못하지만… 비용은 10분의 1 이하, 경제적이지?」",「战斗力远比不上圣核战姬的克隆体……但成本只有十分之一以下，很划算吧？」
,,,,,,,,,
Dialog.DLC-P-33,,「肉壁として運用するなり、性処理させるなり、雑用として自由に使ってくれたまえ。」,「將其用作肉牆，或者讓其進行性處理，或者自由地利用作雜務。」,,「肉壁として運用するなり、性処理させるなり、雑用として自由に使ってくれたまえ。」,「要拿來當肉盾也好，當成性發洩對象也好，或是做雜務都行，隨便怎麼用。」,"""Use them as meat shields, for services, or for menial tasks as you please.""","「고기 방패로 운용하든, 성처리를 시키든, 잡일꾼으로 자유롭게 사용해 줘.」",「要拿来当肉盾也好，当成性发泄对象也好，或是做杂务都行，随便怎么用。」
,,,,,,,,,
Dialog.DLC-P-34,明穂,「おお～一般人を誘拐して戦闘員に…、流石ケイちゃんすっごいワルって感じだね～。」,「哦～誘拐普通人變成戰鬥員…，果然京酷毙了呢～。」,,「おお～一般人を誘拐して戦闘員に…、流石ケイちゃんすっごいワルって感じだね～。」,「哇～把一般人綁來變成戰鬥員……不愧是京醬，真有壞人的感覺呢～」,"""Ooh! Kidnapping ordinary people and turning them into soldiers... As expected of Kei-chan, you're really evil...""",「오오~ 일반인을 유괴해서 전투원으로… 역시 케이쨩 굉장한 악당 같은 느낌이네~.」,「哇～把一般人绑来变成战斗员……不愧是京酱，真有坏人的感觉呢～」
,,,,,,,,,
Dialog.DLC-P-35,那由多,「なるほど、貴女らしい……ですが、流石要望通りの仕事をしてくれますね。」,「原來如此，很符合妳的風格……不過，果然如要求一樣，做得很好。」,,「なるほど、貴女らしい……ですが、流石要望通りの仕事をしてくれますね。」,「原來如此，很有妳風格……不過確實是完全照我們的需求做到位了。」,"""I see, very like you... but as expected, you've done the job as requested.""","「과연, 당신답군요…… 하지만, 역시 요구대로의 일을 해주시는군요.」",「原来如此，很有你风格……不过确实是完全照我们的需求做到位了。」
,,,,,,,,,
Dialog.DLC-P-36,京,「ふふっ、そうだろう？すぐにでも量産体制に入ろうと思う、街中からちょうどいい女を誘拐して――――」,「呵呵，是吧？我想立刻進入量產體制，從城市中綁架適合的女性―――」,,「ふふっ、そうだろう？すぐにでも量産体制に入ろうと思う、街中からちょうどいい女を誘拐して――――」,「呵呵，是吧？我打算立刻啟動量產系統，從街上抓些合適的女人來――――」,"""Fufu, right? I'm thinking of entering mass production immediately, kidnapping suitable women from the city...""","「후훗, 그렇지? 즉시 양산 체제에 들어가려고 해, 거리에서 적당한 여자를 유괴해서――――」",「呵呵，是吧？我打算立刻启动量产系统，从街上抓些合适的女人来――――」
,,,,,,,,,
Dialog.DLC-P-37,,その時、アラームが鳴り、モニターから緊急連絡の通報が入る。,當時，警報響起，從監視器中收到緊急聯絡通報。,,その時、アラームが鳴り、モニターから緊急連絡の通報が入る。,就在這時，警報大響，螢幕上跳出緊急聯絡。,"At that moment, an alarm sounded and an emergency communication came through the monitor.","그때, 알람이 울리고, 모니터로부터 긴급 연락 통보가 들어온다.",就在这时，警报大响，萤幕上跳出紧急联络。
,,,,,,,,,
Dialog.DLC-P-38,クローン(通信),「っ、緊急で連絡させていただきます！」,「啊、我們緊急聯絡您！」,,「っ、緊急で連絡させていただきます！」,「緊、緊急通報！」,"""This is an emergency report!""","「윽, 긴급히 연락드립니다!」",「紧、紧急通报！」
,,,,,,,,,
Dialog.DLC-P-39,京,「っ、なんだ？話の途中に―――」,「啊，怎麼了？話還沒講完呢―――」,,「っ、なんだ？話の途中に―――」,「什麼事？正講到一半―――」,"""What? In the middle of our conversation...""","「윽, 뭐야? 이야기 도중에―――」",「什么事？正讲到一半―――」
,,,,,,,,,
Dialog.DLC-P-40,クローン戦闘員,「聖核戦姫調教セクターから被験体が脱走しました！」,「聖核戰姬調教區的被試驗體逃跑了！」,,「聖核戦姫調教セクターから被験体が脱走しました！」,「聖核戰姬調教區有實驗體脫逃！」,"""A test subject has escaped from the Holy Core Battlemaiden Training Sector!""",「성핵전희 조교 섹터에서 피험체가 탈주했습니다!」,「圣核战姬调教区有实验体脱逃！」
,,,,,,,,,
Dialog.DLC-P-41,エレナ,「…我々が離れているときにッ…しかしクローン戦闘員がいるというのに脱走ですか？」,「…我們離開一下子…可是有克隆戰鬥員在，怎麼會有逃跑的？」,,「…我々が離れているときにッ…しかしクローン戦闘員がいるというのに脱走ですか？」,「……偏偏在我們不在的時候……但那裡不是有克隆戰鬥員駐守嗎，居然還能逃出去？」,"""...While we were away... but how could there be an escape with clone soldiers present?""",「…저희가 떨어져 있을 때… 하지만 클론 전투원이 있는데도 탈주입니까?」,「……偏偏在我们不在的时候……但那里不是有克隆战斗员驻守吗，居然还能逃出去？」
,,,,,,,,,
Dialog.DLC-P-42,那由多,「聖核戦姫調教セクター…まさか」,「聖核戰姬調教區…竟然」,,「聖核戦姫調教セクター…まさか」,「聖核戰姬調教區……難道說——」,"""Holy Core Battlemaiden Training Sector... don't tell me...""",「성핵전희 조교 섹터… 설마」,「圣核战姬调教区……难道说——」
,,,,,,,,,
Dialog.DLC-P-43,クローン戦闘員,「脱走したのは聖核戦姫、コード：ダイヤモンドです―――！」,「逃跑的是聖核戰姬，代號：黛雅―――！」,,「脱走したのは聖核戦姫、コード：ダイヤモンドです―――！」,「逃脫者是聖核戰姬，代號：鑽石！」,"""The escapee is Holy Core Battlemaiden, Code: Diamond!""","「탈주한 것은 성핵전희, 코드: 다이아몬드입니다―――!」",「逃脱者是圣核战姬，代号：钻石！」
,,,,,,,,,
,暗転,,,,,,,,
Dialog.DLC-P-44,地下通路背景,ガッシャアアアアンッッ！！！！,嘎啊啊啊啊啊！！,,ガッシャアアアアンッッ！！！！,哐啷啷——！！,Crash!,갓샤아아아안!!!,哐啷啷——！！
,,,,,,,,,
Dialog.DLC-P-45,クローン戦闘員,「っ、ぐうっ、このっ！！」,「咕、咕咕、這個！！」,,「っ、ぐうっ、このっ！！」,「估唔，這……！！」,"""Guh, damn it!!""","「윽, 크윽, 이!!」",「呃、可恶，这……！！」
,,,,,,,,,
Dialog.DLC-P-46,クローン戦闘員,「―――――敵は強力です！連携をっ――――！」,「―――――敵人很強大！合作攻擊――――！」,,「―――――敵は強力です！連携をっ――――！」,「――敵人的戰力極強！大家配合――！」,"""The enemy is very powerful! Coordinate!""",「―――――적은 강력합니다! 연계를――――!」,「――敌人的战力极强！大家配合――！」
,,,,,,,,,
Dialog.DLC-P-47,ダイヤモンド(シルエット→立ち絵),「無駄だっ！はああっ！！！」,「無用的！哈啊啊！！！」,,「無駄だっ！はああっ！！！」,「沒用的！哈啊啊！！！」,"""It's useless! Haaaah!!!""",「소용없다! 하앗!!!」,「没用的！哈啊啊！！！」
,,,,,,,,,
Dialog.DLC-P-48,ダイヤモンド,「私は聖核戦姫ダイヤモンドッ！最強の聖核戦姫だッ！！」,「我是聖核戰姬黛雅！我是最強的聖核戰姬！！」,,「私は聖核戦姫ダイヤモンドッ！最強の聖核戦姫だッ！！」,「我是聖核戰姬－－鑽石！最強的聖核戰姬！！」,"""I am Holy Core Battlemaiden Diamond! The strongest Holy Core Battlemaiden!!""",「나는 성핵전희 다이아몬드! 최강의 성핵전희다!!」,「我是圣核战姬・钻石！最强的圣核战姬！！」
,,,,,,,,,
,暗転,,,,,,,,
Dialog.DLC-P-49,Hisui story DLC１,(……………！),(……………！),,(……………！),（…………！）,(...!),(……………!),（…………！）
,,,,,,,,,
Dialog.DLC-P-50,,(なんの音……………？),(是什麼聲音……………？),,(なんの音……………？),（這什麼聲音…………？）,(What's that sound...?),(무슨 소리……………?),（这什么声音…………？）
,,,,,,,,,
Dialog.DLC-P-51,,(何か非常事態が――――！！！),(有什麼非常情況發生――――！！！),,(何か非常事態が――――！！！),（難道發生了什麼緊急狀況――――！！！）,(Some kind of emergency!),(뭔가 비상사태가――――!!!),（难道发生了什么紧急状况――――！！！）
,,,,,,,,,
Dialog.DLC-P-52,,ガッシャアアアアンッッ！,「嘎啥啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,,ガッシャアアアアンッッ！,哐啷啷——！！,Crash!,갓샤아아아안!!,哐啷啷——！！
,暗転,,,,,,,,
,地下通路背景,,,,,,,,
Dialog.DLC-P-53,,少女を拘束していた水槽が壊れ、彼女は床に放り出される,水槽破裂，少女被摔到地板上。,,少女を拘束していた水槽が壊れ、彼女は床に放り出される,原本囚禁少女的水槽破裂，她被摔落在地上。,"The water tank containing the girl broke, and she was thrown to the floor.","소녀를 구속하고 있던 수조가 깨지고, 그녀는 바닥에 내던져진다",原本囚禁少女的水槽破裂，她被甩到地上。
,,,,,,,,,
Dialog.DLC-P-54,???(ヒスイ　全裸),「……………っ、うぅ、一体どうなって…」,「……………，唔，到底發生了什麼……」,,「……………っ、うぅ、一体どうなって…」,「…………嗚……到底發生什麼……」,"""...Ugh, what's happening...""","「……………윽, 으으, 대체 어떻게 된…」",「…………呃、呜……到底发生什么……」
,,,,,,,,,
Dialog.DLC-P-55,クローン×３,「っ！、敵の攻撃により被検体が実験槽より流出！直ちに確保を！」,「！、敵方攻擊導致被實驗體從實驗槽中流出！立即確保！」,,「っ！、敵の攻撃により被検体が実験槽より流出！直ちに確保を！」,「！因敵方攻擊，實驗體自實驗槽中流出！請立刻把她抓回來！」,"""...! The test subject has escaped from the experimental tank due to enemy attack! Secure her immediately!""","「윽!, 적의 공격으로 피험체가 실험조에서 유출! 즉시 확보를!」",「！因敌方攻击，验体自实验槽中流出！请立刻把她抓回来！」
,,,,,,,,,
Dialog.DLC-P-56,,そして何人かのクローンが水槽から放たれたばかりの少女を取り押さえようと襲い掛かる,然,,そして何人かのクローンが水槽から放たれたばかりの少女を取り押さえようと襲い掛かる,接著，幾名克隆人衝上前，企圖抓住才剛從水槽中掉出來的少女。,Several clones rushed to restrain the girl who had just been released from the tank.,그리고 여러 명의 클론이 수조에서 막 풀려난 소녀를 제압하려 덮쳐든다,接着，几名克隆人冲上前，企图抓住才刚从水槽中掉出来的少女。
,,,,,,,,,
Dialog.DLC-P-57,???,「っ、な、―――――」,「！、呃、——」,,「っ、な、―――――」,「……什――――」,"""Wh-what...""","「윽, 뭐, ―――――」",「呃、那、――――」
,,,,,,,,,
Dialog.DLC-P-58,ダイヤモンド,「っ、まだ無事な聖核戦姫が…？させるかッ！」,「！、聖核戰姬還平安無事…？絕對不會讓這樣的事情發生！」,,「っ、まだ無事な聖核戦姫が…？させるかッ！」,「還有未被侵蝕的聖核戰姬……？你們休想得逞！」,"""There's still an intact Holy Core Battlemaiden...? I won't let you!""","「윽, 아직 무사한 성핵전희가…? 내버려둘 것 같으냐!」",「还有未被侵蚀的圣核战姬……？你们休想得逞！」
,,,,,,,,,
Dialog.DLC-P-59,,ダイヤモンドの大剣が翻り、クローン達が吹き飛ばされる,黛雅的巨劍猛然揮舞，將克隆們擊飛。,,ダイヤモンドの大剣が翻り、クローン達が吹き飛ばされる,鑽石揮動巨劍，克隆人們被整排砍飛出去。,"Diamond's greatsword swept through, blowing away the clones.","다이아몬드의 대검이 휘둘러지고, 클론들이 날아간다",黛雅挥动巨剑，克隆人们被整排砍飞出去。
,,,,,,,,,
Dialog.DLC-P-60,???,「なっ、あっ、ありがとうございます…」,「呃、啊、謝謝您…」,,「なっ、あっ、ありがとうございます…」,「咦、啊……謝、謝謝您……」,"""Ah, th-thank you...""","「앗, 아, 감사합니다…」",「咦、啊……谢、谢谢您……」
,,,,,,,,,
Dialog.DLC-P-61,ダイヤモンド,「礼など言っている場合か！貴様も聖核戦姫だろう！生き延びたければ戦え！」,「說什麼客套話！你也是聖核戰姬吧！想活下去就戰鬥吧！」,,「礼など言っている場合か！貴様も聖核戦姫だろう！生き延びたければ戦え！」,「現在不是說謝謝的場合！妳也是聖核戰姬吧！想活下來就給我戰鬥！」,"""This is no time for thanks! You're a Holy Core Battlemaiden too, aren't you! Fight if you want to survive!""",「감사 따위 할 때인가! 네놈도 성핵전희겠지! 살아남고 싶다면 싸워라!」,「现在不是说谢谢的场合！你也是圣核战姬吧！想活下来就给我战斗！」
,,,,,,,,,
Dialog.DLC-P-62,???,「っ！？は、はいっ！」,「！？呃、好的！」,,「っ！？は、はいっ！」,「！是、是的！」,"""?! Y-yes!""","「윽!? 네, 네!」",「！是、是的！」
,,,,,,,,,
Dialog.DLC-P-63,,(そうだ………私は聖核戦姫！状況はわからないけど……今の私に出来ることをっ！),「沒錯……我是聖核戰姬！雖然情況不明……但現在我能做的事情！」,,(そうだ………私は聖核戦姫！状況はわからないけど……今の私に出来ることをっ！),（對……我是聖核戰姬！雖然還搞不清楚狀況……但我得做我現在能做到的事！）,(That's right... I'm a Holy Core Battlemaiden! I don't understand the situation but... I'll do what I can!),(그래……… 나는 성핵전희! 상황은 모르겠지만…… 지금 내가 할 수 있는 일을!),（对……我是圣核战姬！虽然还搞不清楚状况……但我得做我现在能做到的事！）
,,,,,,,,,
