Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English_Steam,Korean_Steam,Simplified Chinese_Steam
Record.Nursery-8,,「このままならここの苗床群も2週間後にはクラス3怪人の生産に移行できるでしょう」,「このままならここの苗床群も2週間後にはクラス3怪人の生産に移行できるでしょう」,「照這樣下去，這裡的苗床群兩週後應該就能轉移至生產Class 3的怪人了吧。」,"""At this rate, this seedbed group should be able to transition to Class 3 monster production in two weeks.""",「이 상태라면 이곳 묘상 군도 2주 후에는 클래스 3 괴인 생산으로 이행할 수 있을 것입니다」,「照这样下去，这里的苗床群两周后应该就能转移至生产Class 3的怪人了吧。」
,,,,,,,
Record.Nursery-9,クローン戦闘員,「報告ありがとうございます」,「報告ありがとうございます」,「感謝報告。」,"""Thank you for the report.""",「보고 감사합니다」,「感谢报告。」
,,,,,,,
Record.Nursery-10,,「…………しかし」,「…………しかし」,「…………可是」,"""...However""",「…………하지만」,「…………可是」
,,,,,,,
Record.Nursery-11,クローン戦闘員,「？どうしましたか？」,「？どうしましたか？」,「？怎麼了嗎？」,"""...? What's wrong?""",「? 무슨 일입니까?」,「？怎么了吗？」
,,,,,,,
Record.Nursery-12,クローン戦闘員,「いえ、かつては皆名のある聖核戦姫で、私達クローン何体で戦っても勝ち目はありませんでした」,「いえ、かつては皆名のある聖核戦姫で、私達クローン何体で戦っても勝ち目はありませんでした」,「不，她們過去都是赫赫有名的聖核戰姬，是我們這些克隆人無論多少人上前戰鬥都毫無勝算的對象。」,"""No, it's just that they were all once renowned Holy Core Battlemaidens. No matter how many of us clones fought them, we had no chance of winning.""","「아뇨, 예전에는 모두 이름 있는 성핵전희였고, 우리 클론 몇 체로 싸워도 승산이 없었습니다」",「不，她们过去都是赫赫有名的圣核战姬，是我们这些克隆人无论多少人上前战斗都毫无胜算的对象。」
,,,,,,,
Record.Nursery-13,,「……………それが今やこの有様です」,「……………それが今やこの有様です」,「……………結果現在卻是這副模樣。」,"""...And now look at them like this.""",「……………그것이 지금은 이 모양입니다」,「……………结果现在却是这副模样。」
,,,,,,,
Record.Nursery-14,クローン戦闘員,「……ええ、こうなってしまえば聖核戦姫もただの肉袋ですね」,「……ええ、こうなってしまえば聖核戦姫もただの肉袋ですね」,「……是啊，變成這樣的話，聖核戰姬也不過是個肉袋呢。」,"""...Yes, once they become like this, Holy Core Battlemaidens are just meat sacks.""","「……네, 이렇게 되어버리면 성핵전희도 그저 고깃덩어리네요」",「……是啊，变成这样的话，圣核战姬也不过是个肉袋呢。」
,,,,,,,
Record.Nursery-15,,ズルッ、ズルルッ！,ズルッ、ズルルッ！,滑入、滑入！,"Slurp, squelch!","즈릇, 즈르릇!",滑入、滑入！
,,,,,,,
Record.Nursery-16,,突然、部屋全体の触手と肉塊が収縮と弛緩を繰り返し始める,突然、部屋全体の触手と肉塊が収縮と弛緩を繰り返し始める,突然，房間裡所有的觸手與肉塊開始反覆收縮與鬆弛。,"Suddenly, the tentacles and flesh masses throughout the room began repeatedly contracting and relaxing.","갑자기, 방 전체의 촉수와 살덩이가 수축과 이완을 반복하기 시작한다",突然，房间里所有的触手与肉块开始反复收缩与松弛。
,,,,,,,
Record.Nursery-17,聖核戦姫,「「「ん゛ん～～～っ！！」」」,「「「ん゛ん～～～っ！！」」」,「「「嗯嗯～～～！！」」」,"""Nnnn!!!""",「「「응옷 응~~~윽!!」」」,「「「嗯嗯～～～！！」」」
,,,,,,,
Record.Nursery-18,クローン戦闘員,「おや、苗床の出産が始まりましたね」,「おや、苗床の出産が始まりましたね」,「喔呀，苗床的生產開始了呢」,"""Oh, the seedbeds have started giving birth.""","「어머, 묘상의 출산이 시작되었군요」",「喔呀，苗床的生产开始了呢」
,,,,,,,
Record.Nursery-19,,聖核戦姫達は体中を肉塊によって押され、出産を促される,聖核戦姫達は体中を肉塊によって押され、出産を促される,聖核戰姬們的全身被肉塊擠壓，促使著她們生產。,"The Holy Core Battlemaidens' bodies were pushed by the flesh masses, urging them to give birth.","성핵전희들은 온몸을 살덩이에 의해 눌려, 출산을 재촉당한다",圣核战姬们的全身被肉块挤压，促使着她们生产。
,,,,,,,
Record.Nursery-20,,ビクンッ、ビクンッ！,ビクンッ、ビクンッ！,抽動！抽動！,"Twitch, twitch!","비쿤, 비쿤!",抽动！、抽动！
,,,,,,,
Record.Nursery-21,聖核戦姫,「「「ん゛んん～～っ♥♥♥！！！」」」,「「「ん゛んん～～っ♥♥♥！！！」」」,「「「嗯嗯嗯～～♥♥♥！！！」」」,"""Nnnnn♥♥♥!!!""",「「「응옷 응응~~~윽♥♥♥!!!」」」,「「「嗯嗯嗯～～♥♥♥！！！」」」
,Record nursery 2,,,,,,
Record.Nursery-22,,ドバッ！ブルルルッ！ビシャッ♥！,ドバッ！ブルルルッ！ビシャッ♥！,噴湧！噗嚕嚕！啪唰♥！,Gush! Blurrrrp! Splash!♥,도밧! 부르릇! 비샷♥!,喷涌！噗噜噜！啪唰♥！
,,,,,,,
Record.Nursery-23,聖核戦姫,「「「ん゛んんっっっ～～っ♥♥！！」」」,「「「ん゛んんっっっ～～っ♥♥！！」」」,「「「嗯嗯嗯～～♥♥！！」」」,"""Nnnnnn♥♥!!""",「「「응옷 응응윽~~~윽♥♥!!」」」,「「「嗯嗯嗯～～♥♥！！」」」
,,,,,,,
Record.Nursery-24,,至る所の聖核戦姫達の胎内から大小さまざまな触手が飛び出す,至る所の聖核戦姫達の胎内から大小さまざまな触手が飛び出す,大大小小的觸手從各處聖核戰姬們的胎內噴出。,Tentacles of various sizes burst forth from the wombs of Holy Core Battlemaidens everywhere.,곳곳의 성핵전희들의 태내에서 크고 작은 다양한 촉수가 튀어나온다,大大小小的触手从各处圣核战姬们的胎内喷出。
,,,,,,,
Record.Nursery-25,,グチュッ！ドバッ！ビクンッ！,グチュッ！ドバッ！ビクンッ！,咕啾！噴出！抽動！,Squelch! Gush! Twitch!,구츗! 도밧! 비쿤!,咕啾！喷出！抽动！
,,,,,,,
Record.Nursery-26,クローン戦闘員,「触手の出産を確認。今回はなかなか大きなサイズが生まれていますね」,「触手の出産を確認。今回はなかなか大きなサイズが生まれていますね」,「確認到觸手已生產。這次生出了體型相當大的個體呢。」,"""Tentacle births confirmed. Some quite large sizes are being born this time.""",「촉수 출산 확인. 이번에는 제법 큰 사이즈가 태어났군요」,「确认到触手已生产。这次生出了体型相当大的个体呢。」
,,,,,,,
Record.Nursery-27,聖核戦姫,「「「ん゛んん～～っ♥♥♥！！！」」」,「「「ん゛んん～～っ♥♥♥！！！」」」,「「「嗯嗯嗯～～♥♥♥！！！」」」,"""Nnnnn♥♥♥!!!""",「「「응옷 응응~~~윽♥♥♥!!!」」」,「「「嗯嗯嗯～～♥♥♥！！！」」」
,,,,,,,
Record.Nursery-28,,プシャッ、プシャッ、プシャッ！,プシャッ、プシャッ、プシャッ！,噗咻、噗咻、噗咻！,"Pshhh, pshhh, pshhh!","푸샷, 푸샷, 푸샷!",噗咻、噗咻、噗咻！
,,,,,,,
Record.Nursery-29,クローン戦闘員,「ふう、あらかた出産は落ち着きましたかね」,「ふう、あらかた出産は落ち着きましたかね」,「呼，生產大致上都平息下來了吧。」,"""Phew, it seems the birthing has mostly settled down.""","「후우, 대충 출산은 진정되었군요」",「呼，生产大致上都平息下来了吧。」
,,,,,,,
Record.Nursery-30,クローン戦闘員,「……ところでこの苗床達は今後どうなるのでしょうか？」,「……ところでこの苗床達は今後どうなるのでしょうか？」,「……話說回來，這些苗床今後會怎麼樣呢？」,"""......By the way, what will happen to these seedbeds going forward?""",「……그런데 이 묘상들은 앞으로 어떻게 되는 걸까요?」,「……话说回来，这些苗床今后会怎么样呢？」
,,,,,,,
Record.Nursery-31,クローン戦闘員,「ああ、最終的には聖核が触手に完全に同化して生殖器官、この苗床の一部となります」,「ああ、最終的には聖核が触手に完全に同化して生殖器官、この苗床の一部となります」,「啊，最終她們的聖核會與觸手完全同化，成為生殖器官，跟這個苗床的一部分。」,"""Ah, ultimately their Holy Cores will completely assimilate with the tentacles and become reproductive organs, part of this seedbed.""","「아아, 최종적으로는 성핵이 촉수에 완전히 동화되어 생식 기관, 이 묘상의 일부가 됩니다」",「啊，最终她们的圣核会与触手完全同化，成为生殖器官、这个苗床的一部分。」
,,,,,,,
Record.Nursery-32,クローン戦闘員,「なるほど…しかしここまでくると少し可哀そうですね」,「なるほど…しかしここまでくると少し可哀そうですね」,「原來如此…不過都到這一步了，感覺有點可憐呢。」,"""I see... However, when it goes this far, it's a bit pitiful.""",「과연… 하지만 여기까지 오면 조금 불쌍하군요」,「原来如此…不过都到这一步了，感觉有点可怜呢。」
,,,,,,,
Record.Nursery-33,クローン戦闘員,「いえ、実際は苗床達のドーパミン、オキシトシン的幸福度は非常に高いです」,「いえ、実際は苗床達のドーパミン、オキシトシン的幸福度は非常に高いです」,「不，實際上苗床們的多巴胺、催產素所帶來的幸福度非常高。」,"""No, actually the seedbeds' dopamine and oxytocin-based happiness levels are extremely high.""","「아뇨, 실제로는 묘상들의 도파민, 옥시토신적 행복도는 매우 높습니다」",「不，实际上苗床们的多巴胺、催产素所带来的幸福度非常高。」
,,,,,,,
Record.Nursery-34,クローン戦闘員,「生殖器官となる時まで快楽の時間を過ごせるのです。彼女達も幸せでしょう」,「生殖器官となる時まで快楽の時間を過ごせるのです。彼女達も幸せでしょう」,「在成為生殖器官之前，她們都能享受著快感。她們想必也很幸福吧。」,"""They get to spend their time in pleasure until they become reproductive organs. They must be happy too.""",「생식 기관이 될 때까지 쾌락의 시간을 보낼 수 있는 겁니다. 그녀들도 행복하겠죠」,「在成为生殖器官之前，她们都能享受着快感。她们想必也很幸福吧。」
,,,,,,,
Record.Nursery-35,クローン戦闘員,「なるほど、安心しました。では本日の観察はこれで終了ということで……」,「なるほど、安心しました。では本日の観察はこれで終了ということで……」,「原來如此，那我就放心了。那麼今天的觀察就到此結束……」,"""I see, that's reassuring. Well then, that concludes today's observation...""","「과연, 안심했습니다. 그럼 오늘의 관찰은 이걸로 종료하는 것으로……」",「原来如此，那我就放心了。那么今天的观察就到此结束……」
,Record nursery 3,,,,,,
Record.Nursery-36,,苗床部屋から二人のクローン戦闘員が出て行き、部屋は暗闇に包まれる,苗床部屋から二人のクローン戦闘員が出て行き、部屋は暗闇に包まれる,兩名克隆戰鬥員走出了苗床室，房間被黑暗所包圍。,"The two clone soldiers left the seedbed room, and the room was enveloped in darkness.","묘상 방에서 두 명의 클론 전투원이 나가고, 방은 어둠에 휩싸인다",两名克隆人战斗员走出了苗床室，房间被黑暗所包围。
,,,,,,,
Record.Nursery-37,聖核戦姫,「「「ん゛んん～～っ♥♥♥！！！」」」,「「「ん゛んん～～っ♥♥♥！！！」」」,「「「嗯嗯嗯～～♥♥♥！！！」」」,"""Nnnnn♥♥♥!!!""",「「「응옷 응응~~~윽♥♥♥!!!」」」,「「「嗯嗯嗯～～♥♥♥！！！」」」
,,,,,,,
Record.Nursery-38,,出産が終わった聖核戦姫達はすぐに精触手によって種付けが行われる,出産が終わった聖核戦姫達はすぐに精触手によって種付けが行われる,生產結束的聖核戰姬們，立刻被觸手進行播種。,The Holy Core Battlemaidens who had finished giving birth were immediately seeded by tentacles.,출산이 끝난 성핵전희들은 즉시 정촉수에 의해 수정이 이루어진다,生产结束的圣核战姬们，立刻被触手进行播种。
,,,,,,,
Record.Nursery-39,,ズルルッ、ズチュ、ズルルッ,ズルルッ、ズチュ、ズルルッ,滑溜、噗啾、滑入。,"Squelch, squish, squelch","즈르릇, 즈츗, 즈르릇",滑溜、噗啾、滑入。
,,,,,,,
Record.Nursery-40,,聖核戦姫達は暗闇の中出産を繰り返し、全身が同化して完全な苗床になるまで快楽の中に囚われるのだった,聖核戦姫達は暗闇の中出産を繰り返し、全身が同化して完全な苗床になるまで快楽の中に囚われるのだった,聖核戰姬們在黑暗中不斷重複著生產，直到全身同化成完全的苗床為止，永遠囚禁在快感之中。,"The Holy Core Battlemaidens repeatedly gave birth in the darkness, trapped in pleasure until their entire bodies assimilated and became complete seedbeds.","성핵전희들은 어둠 속에서 출산을 반복하고, 온몸이 동화되어 완전한 묘상이 될 때까지 쾌락 속에 갇히는 것이었다",圣核战姬们在黑暗中不断重复着生产，直到全身同化成完全的苗床为止，永远囚禁在快感之中。
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Record Akiho paizuri,注釈,明穂闇堕ち後パイズリ(実装：Chapter2ｰ3クリア後),明穂闇堕ち後パイズリ(実装：Chapter2ｰ3クリア後),,,아키호 타락 후 파이즈리 (실장: Chapter 2-3 클리어 후),
Record.AkihoPaizuri,,【爆乳怪人明穂の淫靡な日常】,【爆乳怪人明穂の淫靡な日常】,【爆乳怪人明穗的淫靡日常】,[Busty Fiend Akiho's Lewd Life],【폭유 괴인 아키호의 음란한 일상】,【爆乳怪人明穗的淫靡日常】
Record.AkihoPaizuri-1,,明穂が身も心も完全に堕ち、財団の一員となった日常の一幕,明穂が身も心も完全に堕ち、財団の一員となった日常の一幕,明穗身心完全墮落，成為財團一員的日常一幕。,"A slice of life after Akiho had completely fallen in body and mind, becoming a member of the Foundation.","아키호가 몸과 마음이 완전히 타락하여, 재단의 일원이 된 일상의 한 장면",明穗身心完全堕落，成为财团一员的日常一幕。
,Record akiho paizuri,,,,,,
Record.AkihoPaizuri-2,明穂,「ふふっ♥ど～ですか戦闘員さんっ♥爆乳怪人明穂の改造おっぱいっ♥」,「ふふっ♥ど～ですか戦闘員さんっ♥爆乳怪人明穂の改造おっぱいっ♥」,「呵呵♥，怎麼樣啊戰鬥員先生♥，巨乳怪人明穗的改造胸部♥」,"""Fufu♥ How is it, soldier♥ Do you like my modified breasts♥""",「후훗♥ 어~때요 전투원 씨♥ 폭유 괴인 아키호의 개조 가슴♥」,「呵呵♥怎么样啊战斗员先生♥巨乳怪人明穗的改造胸部♥」
,,,,,,,
Record.AkihoPaizuri-3,,「戦闘員さんの改造デカちんぽも簡単に包めちゃいますっ♥！」,「戦闘員さんの改造デカちんぽも簡単に包めちゃいますっ♥！」,「輕易就能包住戰鬥員先生改造的大雞巴♥！」,"""I can easily wrap around even your modified huge cock, soldier♥""",「전투원 씨의 개조 왕자지도 간단히 감쌀 수 있어요♥!」,「轻易就能包住战斗员先生改造的大鸡巴♥！」
,,,,,,,
Record.AkihoPaizuri-4,戦闘員,「うおっ、すげえ質量と圧迫感だっ！」,「うおっ、すげえ質量と圧迫感だっ！」,「哇靠，好驚人的質量和壓迫感！」,"""Whoa, incredible mass and pressure!""","「우옷, 굉장한 질량과 압박감이다!」",「哇靠，好惊人的质量和压迫感！」
,,,,,,,
Record.AkihoPaizuri-5,明穂,「ふふっ、戦闘員の皆さんに毎日おっぱい調教されてこんなになっちゃいましたぁ♥♥」,「ふふっ、戦闘員の皆さんに毎日おっぱい調教されてこんなになっちゃいましたぁ♥♥」,「呵呵♥，每天被戰鬥員們調教胸部，就變成這樣啦♥♥」,"""Fufu, I became like this from daily breast training by all you soldiers♥♥""","「후훗, 전투원 여러분에게 매일 가슴 조교당해서 이렇게 되어버렸어요♥♥」",「呵呵♥，每天被战斗员们调教胸部，就变成这样啦♥♥」
,,,,,,,
Record.AkihoPaizuri-6,,そこにかつての純朴で朗らかな表情はなく、明穂は堕ちた妖艶な笑みを浮かべる,そこにかつての純朴で朗らかな表情はなく、明穂は堕ちた妖艶な笑みを浮かべる,她臉上已沒有過去純樸開朗的神情，明穗露出墮落後妖豔的笑容。,"Gone was her once innocent and cheerful expression, replaced by Akiho's fallen, bewitching smile.","거기에는 예전의 순박하고 명랑한 표정은 없고, 아키호는 타락한 요염한 미소를 띤다",她脸上已没有过去纯朴开朗的神情，明穗露出堕落后妖艳的笑容。
,,,,,,,
Record.AkihoPaizuri-7,,「明穂のおっぱい毎日搾ってくれる皆さんのためにっ♥、今日は明穂の爆乳おっぱいでパイズリご奉仕しますっ♥」,「明穂のおっぱい毎日搾ってくれる皆さんのためにっ♥、今日は明穂の爆乳おっぱいでパイズリご奉仕しますっ♥」,「為了每天榨取明穗胸部的各位♥，今天明穗要我的用巨乳來服務大家♥」,"""For everyone who milks my breasts every day♥ Today I'll let you fuck my huge boobs♥""","「아키호 가슴 매일 짜주는 여러분을 위해♥, 오늘은 아키호의 폭유 가슴으로 파이즈리 봉사합니다♥」",「为了每天榨取明穗胸部的各位♥，今天明穗要我的用巨乳来服务大家♥」
,Record akiho paizuri２,,,,,,
Record.AkihoPaizuri-8,,そして明穂は巨大な爆乳を体全体を使って動かしてちんぽへの奉仕を始める,そして明穂は巨大な爆乳を体全体を使って動かしてちんぽへの奉仕を始める,接著明穗用整個身體帶動巨大的巨乳，開始服侍眼前的雞巴。,"Then Akiho began servicing the cock, moving her gigantic breasts with her entire body.",그리고 아키호는 거대한 폭유를 온몸을 사용해 움직여 자지에 봉사를 시작한다,接着明穗用整个身体带动巨大的巨乳，开始服侍眼前的鸡巴。
,,,,,,,
Record.AkihoPaizuri-9,,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥,啪噹噹♥♥、啪噹♥♥、啪噹♥♥,Boing♥♥ Boing♥♥ Boing♥♥,"다팟♥♥, 다팟♥♥, 다팟♥♥",啪当当♥♥、啪当♥♥、啪当♥♥
,,,,,,,
Record.AkihoPaizuri-10,戦闘員,「ぐっ、デカチチがゴムボールみたいに揺れてすげえ迫力だなっ」,「ぐっ、デカチチがゴムボールみたいに揺れてすげえ迫力だなっ」,「呃，大奶像橡膠球一樣晃動，氣勢好驚人啊」,"""Ugh, those huge tits are bouncing like rubber balls, what incredible impact!""","「크윽, 큰 젖이 고무공처럼 흔들려서 굉장한 박력이네」",「呃，大奶像橡胶球一样晃动，气势好惊人啊」
,,,,,,,
Record.AkihoPaizuri-11,明穂,「ふふっ♥♥私はおっぱい怪人ですからっ♥、このくらい簡単ですッ♥」,「ふふっ♥♥私はおっぱい怪人ですからっ♥、このくらい簡単ですッ♥」,「呵呵♥♥，我是胸部怪人嘛♥，這種程度很簡單的♥」,"""Fufu♥♥ I'm a breast fiend after all♥ This much is easy♥""","「후훗♥♥ 저는 가슴 괴인이니까요♥, 이 정도는 간단합니다♥」",「呵呵♥♥我是胸部怪人嘛♥，这种程度很简单的♥」
,,,,,,,
Record.AkihoPaizuri-12,,明穂は聖核戦姫の身体能力を全てパイズリに使い、目の前のチンポをしごくことに全神経を集中させる,明穂は聖核戦姫の身体能力を全てパイズリに使い、目の前のチンポをしごくことに全神経を集中させる,明穗將聖核戰姬所有的身體能力都用在乳交上，全神貫注於搓揉眼前的雞巴。,"Akiho used all her Holy Core Battlemaiden physical abilities for the titfuck, concentrating on stroking the cock before her.","아키호는 성핵전희의 신체 능력을 전부 파이즈리에 사용하고, 눈앞의 자지를 흔드는 것에 온 신경을 집중시킨다",明穗将圣核战姬所有的身体能力都用在乳交上，全神贯注于搓揉眼前的鸡巴。
,,,,,,,
Record.AkihoPaizuri-13,,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥,啪噹噹♥♥、啪噹♥♥、啪噹♥♥,Boing♥♥ Boing♥♥ Boing♥♥,"다팟♥♥, 다팟♥♥, 다팟♥♥",啪当当♥♥、啪当♥♥、啪当♥♥
,,,,,,,
Record.AkihoPaizuri-14,戦闘員,「っ、しかしノーハンドパイズリとは舐められたもんだなっ！」,「っ、しかしノーハンドパイズリとは舐められたもんだなっ！」,「唔，竟然是不用手只乳交，太小看人了吧！」,"""Tch, but a no-hands titfuck? You're looking down on me!""","「윽, 하지만 노핸드 파이즈리라니 얕보였군!」",「唔，竟然觉得不用手就乳交，太小看人了吧！」
,,,,,,,
Record.AkihoPaizuri-15,明穂,「んっ♥、んっ♥、そうじゃなくてっ♥明穂のおっぱいっ♥、大きすぎて手で持てないんですよっ♥」,「んっ♥、んっ♥、そうじゃなくてっ♥明穂のおっぱいっ♥、大きすぎて手で持てないんですよっ♥」,「嗯♥、嗯♥、不是啦♥，明穗的胸部♥，太大了手抓不住啦♥」,"""Ngh♥ Ngh♥ That's not it♥ My breasts♥ They're too big to hold with my hands♥""","「응읏♥, 응읏♥, 그렇지 않아요♥ 아키호 가슴♥, 너무 커서 손으로 잡을 수가 없어요♥」",「嗯♥、嗯♥、不是啦♥明穗的胸部♥，太大了手抓不住啦♥」
,,,,,,,
Record.AkihoPaizuri-16,,「でもっ♥、こんなに大きくしてくれたのは戦闘員の皆様のおかげだからっ♥」,「でもっ♥、こんなに大きくしてくれたのは戦闘員の皆様のおかげだからっ♥」,「可是♥，能長這麼大都多虧了各位戰鬥員♥」,"""But♥ It's thanks to all you soldiers that they got this big♥""","「하지만♥, 이렇게 크게 만들어준 것은 전투원 여러분 덕분이니까♥」",「可是♥，能长这么大都多亏了各位战斗员♥」
,,,,,,,
Record.AkihoPaizuri-17,,「っ♥、全力でパイズリしてご奉仕しますっ♥♥！」,「っ♥、全力でパイズリしてご奉仕しますっ♥♥！」,「唔♥，我會全力乳交來服侍各位的♥♥！」,"""♥ I'll give you the titfuck of your life♥♥""","「윽♥, 전력으로 파이즈리해서 봉사하겠습니다♥♥!」",「唔♥，我会全力乳交来服侍各位的♥♥！」
,,,,,,,
Record.AkihoPaizuri-18,,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥,啪噹噹♥♥、啪噹♥♥、啪噹♥♥,Boing♥♥ Boing♥♥ Boing♥♥,"다팟♥♥, 다팟♥♥, 다팟♥♥",啪当当♥♥、啪当♥♥、啪当♥♥
,,,,,,,
Record.AkihoPaizuri-19,戦闘員,「ぐうっ！すげえ乳圧でもう出ちまいそうだっ！」,「ぐうっ！すげえ乳圧でもう出ちまいそうだっ！」,「嗚！好強的胸部壓力，快要射出來了！」,"""Guh! The breast pressure is so intense I'm about to come!""",「크으윽! 굉장한 젖압으로 이제 싸버릴 것 같아!」,「呜！好强的胸部压力，快要射出来了！」
,,,,,,,
Record.AkihoPaizuri-20,明穂,「ふふっ♥、出してくださいっ♥、戦闘員様の改造特濃ザーメンッ♥♥」,「ふふっ♥、出してくださいっ♥、戦闘員様の改造特濃ザーメンッ♥♥」,「呵呵♥，請射出來吧♥，戰鬥員大人改造的特濃精液♥♥」,"""Fufu♥ Please ♥ Your modified super-thick semen, soldier♥♥""","「후훗♥, 싸주세요♥, 전투원님의 개조 특농 정액♥♥」",「呵呵♥，请射出来吧♥，战斗员大人改造的特浓精液♥♥」
,,,,,,,
Record.AkihoPaizuri-21,,明穂は身体全体をくねらし、爆乳を激しく震わせて射精を促す,明穂は身体全体をくねらし、爆乳を激しく震わせて射精を促す,明穗扭動全身，猛烈地震動巨乳，催促他射精。,"Akiho writhed her entire body, shaking her huge breasts violently to encourage ejaculation.","아키호는 몸 전체를 꿈틀거리며, 폭유를 격렬하게 흔들어 사정을 재촉한다",明穗扭动全身，猛烈地震动巨乳，催促他射精。
,,,,,,,
Record.AkihoPaizuri-22,,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥,啪噹噹♥♥、啪噹♥♥、啪噹♥♥,Boing♥♥ Boing♥♥ Boing♥♥,"다팟♥♥, 다팟♥♥, 다팟♥♥",啪当当♥♥、啪当♥♥、啪当♥♥
,,,,,,,
Record.AkihoPaizuri-23,戦闘員,「っ、ぐうっ、出すぞ！」,「っ、ぐうっ、出すぞ！」,「唔，我要射了！」,"""Tch, guh, I'm coming!""","「윽, 크윽, 싼다!」",「唔，我要射了！」
,,,,,,,
